"HILLSBOROUGH (LISADIAN)",,,,,,,,,,,,
Grid ref,IJ219591,Long,-6.120491,Lat,54.465875,,,,,,,
Station no,6205/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.27,2.64,3.76,2.88,4.18,4.44,2.23,3.34,,
February,,,1.18,3.36,3.64,1.18,2.09,4.55,1.25,2.06,,
March,,,0.33,3.24,1.29,1.90,2.62,1.66,2.51,2.00,,
April,,,1.72,0.74,2.11,1.37,1.39,1.54,2.55,2.86,,
May,,,1.65,3.63,2.67,0.84,2.08,2.54,1.36,1.65,,
June,,,1.80,2.35,4.83,2.92,1.07,6.07,2.18,2.05,,
July,,,5.07,3.70,1.51,3.17,4.16,4.02,4.51,5.33,,
August,,4.68,3.72,2.85,1.45,6.74,4.72,3.76,0.86,5.77,,
September,,1.09,2.38,4.21,3.30,2.93,4.09,4.99,1.34,2.78,,
October,,3.66,1.75,4.96,2.14,2.55,3.61,2.44,4.00,5.05,,
November,,2.57,3.97,5.29,1.81,1.29,1.59,1.62,3.24,3.52,,
December,,3.17,3.17,3.89,4.24,4.94,4.43,4.56,4.79,2.74,,
Total,,,28.01,40.86,32.75,32.71,36.03,42.19,30.82,39.15,,
Calc annual,0.00,15.17,28.01,40.86,32.75,32.71,36.03,42.19,30.82,39.15,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
