"LOCH RANNOCH (RAILWAY STATION)",,,,,,,,,,,,
Grid ref,NN424578,Long,-4.574531,Lat,56.685285,,,,,,,
Station no,5559/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.27,5.72,5.57,6.60,,,,,,,,
February,4.90,4.39,5.68,5.60,,,,,,,,
March,3.07,4.28,3.24,3.50,,,,,,,,
April,7.00,3.35,4.70,2.67,,,,,,,,
May,1.05,3.67,4.30,4.63,,,,,,,,
June,2.50,4.66,1.62,3.42,,,,,,,,
July,3.71,3.74,6.84,2.97,,,,,,,,
August,4.92,5.59,5.09,4.70,,,,,,,,
September,4.19,5.26,6.31,7.24,,,,,,,,
October,2.97,9.30,3.98,11.49,,,,,,,,
November,9.08,3.32,10.86,9.75,,,,,,,,
December,11.20,6.49,8.00,14.25,,,,,,,,
Total,61.86,59.77,66.19,76.82,,,,,,,,
Calc annual,61.86,59.77,66.19,76.82,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
