"HAWICK (WAUCHOPE)",,,,,,,,,,,,
Grid ref,NT587097,Long,-2.653332,Lat,55.379528,,,,,,,
Station no,5042/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,1.74,4.87,3.95,2.23,4.56,,
February,,,,,,2.19,3.76,2.53,1.07,4.34,,
March,,,,,,1.30,1.87,0.88,1.24,1.61,,
April,,,,,,0.67,0.53,1.52,2.83,2.03,,
May,,,,,,1.43,1.45,3.28,0.74,1.26,,
June,,,,,,2.76,1.14,2.89,2.94,1.73,,
July,,,,,,4.74,2.86,5.71,2.36,3.42,,
August,,,,,0.74,8.36,4.77,2.58,0.98,5.68,,
September,,,,,1.68,2.27,2.62,3.80,0.79,3.03,,
October,,,,,2.41,2.01,2.81,2.35,2.90,3.41,,
November,,,,,1.50,1.19,0.95,0.72,5.98,4.12,,
December,,,,,4.40,4.55,2.34,3.66,5.88,3.51,,
Total,,,,,-999.00,33.21,29.97,33.87,29.94,38.70,,
Calc annual,0.00,0.00,0.00,0.00,10.73,33.21,29.97,33.87,29.94,38.70,,
Difference,NaN,NaN,NaN,NaN,-1009.73,0.00,0.00,-0.00,0.00,0.00,,
