"LITTLE DON VALLEY (SHEEP HOUSE)",,,,,,,,,,,,
Grid ref,SE252004,Long,-1.621578,Lat,53.499699,,,,,,,
Station no,3148,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.93,4.30,0.80,2.91,2.49,5.19,2.24,4.52,3.81,5.21,,
February,3.77,1.21,2.40,3.30,2.67,1.13,2.82,5.02,0.23,2.61,,
March,4.38,1.87,1.98,2.59,3.75,1.40,2.06,2.42,1.50,2.75,,
April,1.72,1.82,2.72,0.51,0.71,3.23,0.20,0.67,5.10,1.81,,
May,4.95,2.37,2.90,4.03,3.77,0.68,1.16,3.25,0.98,2.35,,
June,1.11,1.72,3.40,1.49,2.75,3.33,1.00,5.27,1.50,0.99,,
July,2.33,1.86,2.70,1.99,0.79,6.68,2.62,5.25,1.63,3.31,,
August,4.22,1.83,3.41,6.17,1.26,6.45,5.69,4.19,0.99,4.36,,
September,1.72,3.25,1.91,2.58,0.87,3.85,4.58,3.48,0.06,4.08,,
October,0.79,6.28,1.99,4.59,2.62,2.04,2.35,2.79,2.59,8.34,,
November,8.76,2.07,2.64,7.30,2.17,1.20,2.95,0.80,4.52,5.18,,
December,5.70,2.29,1.33,4.35,3.88,3.65,4.89,4.22,6.30,4.47,,
Total,42.38,30.87,28.18,41.81,27.73,38.83,32.56,41.88,29.21,45.46,,
Calc annual,42.38,30.87,28.18,41.81,27.73,38.83,32.56,41.88,29.21,45.46,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
