"SOUTHREY",,,,,,,,,,,,
Grid ref,TF140664,Long,-0.295540,Lat,53.182494,,,,,,,
Station no,2554/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.49,2.48,4.43,,
February,,,,,,,,3.17,0.23,1.94,,
March,,,,,,,,1.86,2.22,1.31,,
April,,,,,,,,0.49,1.35,0.84,,
May,,,,,,,,2.27,0.31,0.61,,
June,,,,,,,,3.83,0.55,0.41,,
July,,,,,,,,4.50,2.34,3.17,,
August,,,,,,,,1.51,0.78,2.96,,
September,,,,,,,,2.09,0.11,2.31,,
October,,,,,,,,1.72,1.62,5.57,,
November,,,,,,,,0.92,1.86,3.63,,
December,,,,,,,,2.77,3.14,3.18,,
Total,,,,,,,,27.62,16.99,30.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.62,16.99,30.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
