"COIRE SHUBH BEAG",,,,,,,,,,,,
Grid ref,NG960044,Long,-5.368169,Lat,57.085252,,,,,,,
Station no,5716/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,13.72,25.00,16.70,7.00,,,
February,,,,,,10.32,12.50,11.50,10.50,,,
March,,,,,,5.60,13.00,5.30,8.00,,,
April,,,,,,8.50,6.40,9.50,8.98,,,
May,,,,,,11.02,4.50,11.00,3.86,,,
June,,,,,,6.70,4.00,2.46,,,,
July,,,,,,9.80,9.75,3.50,,,,
August,,,,,3.36,8.70,12.00,7.00,,,,
September,,,,,15.14,10.20,6.25,6.80,,,,
October,,,,,14.50,15.20,23.00,16.00,,,,
November,,,,,6.33,17.00,6.53,3.80,,,,
December,,,,,20.18,21.50,25.00,10.42,,,,
Total,,,,,-999.00,138.26,147.93,103.98,,,,
Calc annual,0.00,0.00,0.00,0.00,59.51,138.26,147.93,103.98,38.34,0.00,,
Difference,NaN,NaN,NaN,NaN,-1058.51,0.00,0.00,0.00,NaN,NaN,,
