"BLACKWOOD DUMFRIES",,,,,,,,,,,,
Grid ref,NX907870,Long,-3.717288,Lat,55.165201,,,,,,,
Station no,5029/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.26,4.37,1.31,4.33,4.15,4.25,5.97,6.38,2.68,4.62,,
February,3.30,0.79,1.24,4.45,1.53,0.92,4.40,3.22,1.38,6.22,,
March,3.60,2.64,0.61,3.06,2.71,2.39,3.54,1.55,3.05,2.16,,
April,2.65,2.44,2.62,1.09,1.76,1.15,2.10,1.45,3.33,4.77,,
May,2.50,2.70,2.54,4.77,3.23,2.13,3.24,3.88,0.98,2.16,,
June,1.77,2.35,1.95,3.66,2.88,2.81,1.30,3.91,3.39,2.75,,
July,2.26,3.04,5.32,3.77,2.40,5.88,4.09,4.21,3.87,4.81,,
August,7.22,3.22,2.67,4.17,1.45,7.49,4.89,4.37,0.71,4.70,,
September,5.02,1.47,5.17,5.61,3.50,4.76,4.11,5.38,1.51,3.64,,
October,0.48,4.60,4.11,9.14,4.06,2.92,4.09,3.73,5.87,4.30,,
November,8.94,2.74,6.72,10.48,2.89,1.35,2.49,1.94,7.96,9.26,,
December,7.45,3.85,4.36,5.37,6.11,5.45,5.41,5.40,8.66,4.13,,
Total,51.45,34.21,38.62,59.90,36.67,41.50,45.63,45.42,43.39,53.52,,
Calc annual,51.45,34.21,38.62,59.90,36.67,41.50,45.63,45.42,43.39,53.52,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
