"HILDENBOROUGH (HOLLANDEN HOUSE)",,,,,,,,,,,,
Grid ref,TQ560498,Long,0.232733,Lat,51.226078,,,,,,,
Station no,348,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.08,2.75,,,,,,,,,,
February,7.66,1.12,,,,,,,,,,
March,3.90,3.57,,,,,,,,,,
April,2.33,1.62,,,,,,,,,,
May,1.53,1.62,,,,,,,,,,
June,2.01,1.53,,,,,,,,,,
July,1.86,0.62,,,,,,,,,,
August,6.58,3.20,,,,,,,,,,
September,3.74,3.72,,,,,,,,,,
October,1.41,3.69,,,,,,,,,,
November,4.69,5.06,,,,,,,,,,
December,2.92,3.75,,,,,,,,,,
Total,41.71,32.25,,,,,,,,,,
Calc annual,41.71,32.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
