"LOCH CAOLISPORT (ORMSARY)",,,,,,,,,,,,
Grid ref,NR740718,Long,-5.615406,Lat,55.886154,,,,,,,
Station no,5413/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,7.91,7.08,1.51,3.98,,
February,,,,,,,3.74,5.22,1.42,5.68,,
March,,,,,,,6.07,1.32,4.36,4.58,,
April,,,,,,,2.42,2.28,4.31,4.59,,
May,,,,,,,2.31,3.07,1.54,2.88,,
June,,,,,,,3.63,3.82,3.12,2.44,,
July,,,,,,,4.54,3.97,7.26,4.51,,
August,,,,,,,4.32,5.32,1.75,3.26,,
September,,,,,,,3.73,4.60,2.23,3.54,,
October,,,,,,,6.01,5.02,5.99,4.82,,
November,,,,,,,2.43,2.26,6.18,7.55,,
December,,,,,,,6.59,7.12,11.27,7.49,,
Total,,,,,,,53.70,51.08,50.94,55.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,53.70,51.08,50.94,55.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
