"KIMBOLTON (COUNTY PRIMARY SCHOOL)",,,,,,,,,,,,
Grid ref,TL098677,Long,-0.391354,Lat,52.296464,,,,,,,
Station no,1151/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.86,,,,,,,
February,,,,,2.42,,,,,,,
March,,,,,1.91,,,,,,,
April,,,,,0.46,,,,,,,
May,,,,,4.00,,,,,,,
June,,,,,3.10,,,,,,,
July,,,,,0.50,,,,,,,
August,,,,,1.04,,,,,,,
September,,,,,1.44,,,,,,,
October,,,,,1.39,,,,,,,
November,,,,,1.88,,,,,,,
December,,,,2.39,2.11,,,,,,,
Total,,,,,22.11,,,,,,,
Calc annual,0.00,0.00,0.00,2.39,22.11,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
