"EVESHAM (HAMPTON PARK SW)",,,,,,,,,,,,
Grid ref,SP030446,Long,-1.957619,Lat,52.099730,,,,,,,
Station no,2426/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.76,4.23,,
February,,,,,,,,,0.11,1.63,,
March,,,,,,,,,2.06,1.14,,
April,,,,,,,,,2.28,1.15,,
May,,,,,,,,,0.77,1.23,,
June,,,,,,,,,0.98,2.27,,
July,,,,,,,,,1.11,3.52,,
August,,,,,,,3.56,,0.67,4.27,,
September,,,,,,,3.57,,0.13,4.79,,
October,,,,,,,1.15,,2.49,4.96,,
November,,,,,,,1.67,2.25,3.37,3.72,,
December,,,,,,,2.02,2.19,3.99,2.57,,
Total,,,,,,,,,21.72,35.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,11.97,4.44,21.72,35.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
