"KELLAS (KELLAS HOUSE)",,,,,,,,,,,,
Grid ref,NJ165539,Long,-3.397522,Lat,57.567431,,,,,,,
Station no,5676/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.97,3.25,1.60,1.95,2.35,3.00,2.21,4.26,3.73,3.33,,
February,3.23,1.92,2.23,1.57,2.31,3.08,1.80,3.81,0.72,2.47,,
March,3.68,2.11,0.90,2.02,2.05,1.18,3.20,1.53,1.44,1.37,,
April,4.53,1.35,3.30,1.08,1.45,1.80,0.88,1.92,2.90,1.82,,
May,1.21,1.33,3.50,6.59,4.34,1.37,1.85,3.62,1.45,0.44,,
June,3.88,2.87,3.37,3.97,1.37,2.78,2.52,2.01,2.40,3.70,,
July,4.51,2.88,3.94,6.03,0.63,7.95,5.96,5.12,3.35,3.64,,
August,3.95,5.86,2.47,3.21,2.59,4.89,7.00,3.85,1.45,9.76,,
September,0.95,5.43,1.84,2.45,1.85,2.92,2.78,1.69,0.97,3.29,,
October,1.88,2.64,0.82,6.44,5.28,3.64,1.84,2.27,2.90,4.90,,
November,5.61,3.79,2.39,2.60,1.00,2.04,3.56,1.21,3.76,2.07,,
December,3.17,3.75,3.34,5.23,5.20,2.65,3.89,2.40,1.82,0.96,,
Total,39.57,37.18,29.70,43.14,30.42,37.30,37.49,33.69,26.89,37.75,,
Calc annual,39.57,37.18,29.70,43.14,30.42,37.30,37.49,33.69,26.89,37.75,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
