"MOURNE MOUNTAINS (SLIEVE LAMAGAN)",,,,,,,,,,,,
Grid ref,IJ322255,Long,-5.976585,Lat,54.161606,,,,,,,
Station no,6197/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.80,6.50,2.70,4.60,6.55,5.75,9.05,9.25,4.50,8.90,,
February,5.30,1.25,3.00,8.65,8.80,2.60,4.60,8.05,1.95,6.10,,
March,6.15,4.60,0.80,8.90,2.95,2.80,9.85,3.35,5.85,6.60,,
April,4.55,3.80,3.60,1.35,4.00,2.60,2.15,2.90,4.40,4.50,,
May,5.50,1.90,4.05,9.60,5.50,2.25,5.60,7.40,2.35,2.70,,
June,2.75,5.10,3.85,5.10,7.60,5.25,1.60,10.25,3.00,4.00,,
July,5.20,3.10,8.30,5.70,2.20,6.40,10.85,5.80,3.75,9.65,,
August,9.50,6.20,6.40,4.85,2.20,11.30,8.05,10.45,1.25,6.40,,
September,5.80,4.35,6.40,8.05,3.90,6.60,11.05,10.10,3.85,4.80,,
October,1.80,12.75,3.95,12.10,3.20,4.50,6.70,4.10,7.65,9.40,,
November,12.40,6.00,7.65,10.40,4.45,3.20,4.60,4.05,9.65,7.45,,
December,8.50,6.10,6.20,8.75,8.30,8.90,8.50,6.40,14.00,6.50,,
Total,76.25,61.65,56.90,88.05,59.65,62.15,82.60,82.10,62.20,77.00,,
Calc annual,76.25,61.65,56.90,88.05,59.65,62.15,82.60,82.10,62.20,77.00,,
Difference,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
