"KILSYTH ( SEWAGE WORKS )",,,,,,,,,,,,
Grid ref,NS716779,Long,-4.059207,Lat,55.976859,,,,,,,
Station no,5380/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.27,4.78,2.65,5.97,3.30,3.33,6.58,4.95,1.76,5.72,,
February,3.13,1.93,2.41,4.54,2.56,1.79,3.98,3.74,2.29,4.09,,
March,5.09,3.65,1.30,3.19,2.03,3.03,5.64,2.32,2.63,2.18,,
April,2.30,2.02,2.83,2.54,2.45,1.30,2.43,1.76,3.55,4.58,,
May,2.14,1.94,2.74,4.39,3.80,2.67,3.08,4.36,1.56,3.78,,
June,3.13,3.82,2.65,4.28,2.15,3.15,2.76,3.95,3.01,3.45,,
July,5.70,2.90,6.58,2.84,1.47,5.80,4.38,4.60,6.48,4.11,,
August,5.13,5.44,3.70,6.63,1.46,4.89,5.32,6.37,1.45,4.39,,
September,3.68,3.75,4.69,7.26,4.02,5.82,3.48,4.46,1.60,2.58,,
October,1.35,3.68,2.91,11.28,4.18,4.16,5.68,3.95,5.06,3.83,,
November,6.72,2.67,7.04,7.32,2.35,1.82,2.37,2.62,7.21,6.49,,
December,7.10,5.05,5.24,7.57,7.77,5.82,5.74,5.85,7.05,5.99,,
Total,51.74,41.63,44.74,67.81,37.54,43.58,51.44,48.93,43.65,51.19,,
Calc annual,51.74,41.63,44.74,67.81,37.54,43.58,51.44,48.93,43.65,51.19,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
