"DALRY (FOREST LODGE)",,,,,,,,,,,,
Grid ref,NX555866,Long,-4.269214,Lat,55.152578,,,,,,,
Station no,5018,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.39,10.62,2.94,9.58,6.46,6.11,9.75,9.78,4.23,7.42,,
February,5.44,2.01,2.67,-999.00,2.65,1.35,5.61,6.72,2.20,8.56,,
March,4.41,4.61,1.20,5.75,2.89,4.37,6.82,2.08,5.76,2.30,,
April,5.23,3.41,3.00,1.60,3.22,1.88,3.05,2.30,5.76,7.37,,
May,2.37,3.99,4.12,5.54,5.21,3.58,4.15,4.30,2.04,2.71,,
June,2.79,3.89,1.99,5.42,3.53,4.05,2.28,4.00,4.21,3.71,,
July,2.05,3.63,8.75,4.75,2.18,6.84,5.91,5.87,6.49,5.41,,
August,10.51,6.35,4.63,4.94,2.18,8.99,6.39,5.58,1.10,6.41,,
September,6.40,3.86,10.02,10.59,5.36,6.44,6.08,7.67,1.88,4.16,,
October,1.09,7.44,6.31,12.01,4.99,5.98,7.19,6.59,9.51,6.76,,
November,12.77,3.74,11.66,13.27,4.67,3.13,3.45,2.64,8.36,12.53,,
December,13.70,7.42,7.11,12.34,12.72,9.04,9.41,7.63,12.45,8.51,,
Total,76.15,60.97,64.40,91.53,56.06,61.76,70.09,65.16,63.99,75.85,,
Calc annual,76.15,60.97,64.40,85.79,56.06,61.76,70.09,65.16,63.99,75.85,,
Difference,0.00,-0.00,0.00,5.74,0.00,-0.00,0.00,0.00,-0.00,0.00,,
