"EDINBURGH (CRAIGLOCKHART)",,,,,,,,,,,,
Grid ref,NT224705,Long,-3.243284,Lat,55.921298,,,,,,,
Station no,5137/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.24,2.82,0.36,3.00,1.95,1.56,3.57,1.50,0.93,2.68,,
February,2.73,0.46,0.69,1.84,1.63,2.02,3.25,1.80,0.41,2.21,,
March,3.34,1.16,0.37,1.72,2.21,1.24,1.51,2.30,0.51,0.99,,
April,3.03,1.48,2.56,1.36,0.34,0.76,0.67,1.50,1.98,0.79,,
May,3.68,1.83,1.85,4.76,2.22,0.74,1.98,2.40,0.61,1.47,,
June,1.94,2.41,1.51,2.09,0.99,2.26,1.19,3.50,1.57,1.08,,
July,3.85,2.04,4.18,1.76,1.63,5.70,4.88,6.70,2.53,2.49,,
August,5.66,4.20,1.95,5.05,1.10,5.93,3.28,3.30,0.25,4.43,,
September,0.92,1.86,3.29,3.11,1.28,4.14,1.59,2.50,0.53,1.37,,
October,0.57,1.98,1.43,7.07,1.58,1.74,1.93,1.06,2.00,3.53,,
November,4.95,2.27,3.40,3.10,0.99,0.76,2.43,1.13,5.19,2.73,,
December,2.88,2.70,3.50,3.22,4.70,2.78,2.60,4.30,3.09,2.74,,
Total,36.79,25.21,25.09,38.08,20.62,29.63,28.88,31.99,19.60,26.51,,
Calc annual,36.79,25.21,25.09,38.08,20.62,29.63,28.88,31.99,19.60,26.51,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
