"MONTROSE (ROYAL MENTAL HOSPITAL)",,,,,,,,,,,,
Grid ref,NO707617,Long,-2.480666,Lat,56.746005,,,,,,,
Station no,5609,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.76,1.34,0.81,1.10,1.03,3.40,2.40,3.46,1.14,4.45,,
February,2.52,0.79,0.89,2.03,2.57,1.64,2.57,2.34,0.21,2.78,,
March,2.54,3.33,0.39,2.42,1.56,1.17,2.18,5.06,1.25,1.77,,
April,2.15,0.89,3.56,0.94,0.64,1.24,0.80,1.70,1.93,2.25,,
May,1.42,2.90,1.94,3.32,1.58,0.44,1.60,2.83,1.61,0.78,,
June,1.88,2.08,1.66,2.03,0.77,2.52,1.20,1.57,3.53,1.75,,
July,3.32,2.22,3.25,2.19,0.66,3.64,4.37,5.61,2.69,2.94,,
August,3.81,2.25,2.32,2.66,0.53,4.80,4.00,4.76,0.44,4.90,,
September,1.46,0.89,2.64,2.35,2.06,4.35,1.50,1.97,0.68,3.01,,
October,0.73,2.09,1.26,5.14,2.33,1.87,1.27,1.52,3.08,8.75,,
November,7.15,2.04,2.51,4.79,2.20,0.90,1.37,0.70,5.31,4.56,,
December,1.77,2.09,3.35,2.58,5.01,3.37,3.11,4.12,5.07,2.49,,
Total,32.51,22.91,24.58,31.55,20.94,29.34,26.37,35.64,26.94,40.43,,
Calc annual,32.51,22.91,24.58,31.55,20.94,29.34,26.37,35.64,26.94,40.43,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
