"BRAYSTONES",,,,,,,,,,,,
Grid ref,NY008058,Long,-3.530977,Lat,54.437897,,,,,,,
Station no,3653,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.35,3.32,3.42,2.71,2.32,3.17,4.54,5.75,2.03,4.55,,
February,2.75,0.91,1.61,3.93,1.12,0.72,2.41,4.42,1.20,4.75,,
March,4.37,2.86,0.42,3.10,1.63,1.19,3.71,1.32,2.72,0.90,,
April,1.72,3.14,2.07,0.94,3.16,1.12,1.23,1.03,2.71,3.30,,
May,1.26,2.62,2.56,3.70,2.03,1.92,2.52,3.51,0.88,2.45,,
June,1.37,3.08,1.32,4.01,4.45,2.98,1.98,4.86,3.12,1.68,,
July,2.72,2.36,4.79,5.02,3.25,5.79,4.26,3.18,2.33,5.28,,
August,6.91,3.74,4.44,4.11,3.84,10.40,3.38,3.87,0.25,3.63,,
September,5.92,3.18,5.75,6.22,2.73,3.75,6.90,4.93,2.22,5.35,,
October,1.02,3.22,1.84,7.06,2.30,4.00,4.93,4.12,6.33,1.84,,
November,7.13,1.88,7.10,7.94,1.77,1.31,1.77,2.58,6.99,6.72,,
December,6.67,4.34,3.02,4.42,4.49,3.94,4.76,3.85,6.63,4.76,,
Total,47.19,34.65,38.34,53.16,33.09,40.29,42.39,43.42,37.41,45.21,,
Calc annual,47.19,34.65,38.34,53.16,33.09,40.29,42.39,43.42,37.41,45.21,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
