"STOCKBRIDGE (LECKFORD ESTATE)",,,,,,,,,,,,
Grid ref,SU393362,Long,-1.439826,Lat,51.123741,,,,,,,
Station no,659/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.55,2.38,0.48,1.48,3.01,4.95,2.56,2.64,2.28,4.42,,
February,6.80,0.57,1.36,2.58,1.42,0.15,3.09,1.91,0.14,2.58,,
March,3.82,2.83,0.51,2.99,0.98,1.29,1.76,0.80,2.70,1.86,,
April,2.90,2.46,2.69,0.33,0.50,1.38,0.11,0.58,3.41,1.24,,
May,3.15,3.20,2.01,1.68,4.25,0.51,1.78,2.32,0.50,1.57,,
June,0.60,1.49,1.54,3.53,2.77,1.97,1.88,3.51,0.88,3.01,,
July,1.67,0.43,3.09,3.36,0.63,4.84,4.36,1.69,1.99,4.61,,
August,4.88,4.05,1.24,3.75,0.57,4.68,3.30,4.42,2.09,3.41,,
September,4.38,2.65,2.26,2.77,1.50,3.76,2.78,3.68,0.04,5.45,,
October,0.66,4.48,4.63,2.68,3.38,2.58,2.20,3.36,3.43,11.50,,
November,9.02,2.94,1.53,6.88,2.82,0.74,2.70,2.10,4.38,4.65,,
December,2.88,2.63,0.66,3.06,4.41,4.78,2.97,3.12,7.92,4.59,,
Total,44.31,30.11,22.00,35.09,26.24,31.63,29.49,30.13,29.76,48.89,,
Calc annual,44.31,30.11,22.00,35.09,26.24,31.63,29.49,30.13,29.76,48.89,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
