"BLAIR GARDENS",,,,,,,,,,,,
Grid ref,NS302481,Long,-4.703280,Lat,55.696548,,,,,,,
Station no,5241,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.77,6.19,3.13,5.31,3.20,4.33,6.19,6.23,2.21,4.47,,
February,3.28,2.61,2.38,4.73,3.13,2.06,3.49,4.89,2.63,4.55,,
March,3.08,3.60,1.30,3.41,1.85,3.47,5.84,1.66,3.11,2.54,,
April,3.10,2.29,2.15,2.24,4.32,1.66,2.89,1.94,3.40,4.86,,
May,2.41,1.83,2.46,3.32,5.23,3.06,2.82,4.24,1.80,2.66,,
June,2.70,3.86,1.33,4.83,3.72,3.31,2.87,3.12,4.12,3.93,,
July,3.90,4.12,4.36,4.57,1.65,5.51,6.28,5.35,6.71,5.95,,
August,5.49,5.64,3.94,8.67,1.53,6.40,5.35,4.97,1.10,5.06,,
September,4.37,3.39,5.89,6.95,5.34,5.19,4.24,5.03,2.00,4.82,,
October,1.38,4.66,4.08,11.44,3.37,4.06,6.31,4.89,8.02,3.27,,
November,5.68,3.04,8.71,7.54,2.72,2.62,2.12,2.58,5.32,6.17,,
December,7.90,5.97,5.22,7.21,8.58,5.85,5.32,7.09,7.62,7.79,,
Total,49.06,47.20,44.95,70.22,44.64,47.52,53.72,51.99,48.04,56.07,,
Calc annual,49.06,47.20,44.95,70.22,44.64,47.52,53.72,51.99,48.04,56.07,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
