"FORD (1958)",,,,,,,,,,,,
Grid ref,SJ420129,Long,-2.859940,Lat,52.710639,,,,,,,
Station no,2289/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.71,2.28,0.69,1.36,2.28,2.97,1.24,1.91,2.87,4.71,,
February,2.16,0.45,1.48,2.19,0.88,0.39,2.08,3.09,0.27,2.26,,
March,3.91,1.17,1.44,1.69,3.23,1.04,1.35,0.69,2.14,1.39,,
April,1.77,1.59,2.70,0.39,0.97,1.68,0.30,0.33,3.09,0.95,,
May,3.32,1.66,2.05,2.73,4.13,0.33,0.97,1.35,2.38,1.17,,
June,0.56,1.75,1.81,2.91,3.06,1.08,1.36,4.00,1.94,1.53,,
July,1.70,0.73,2.37,1.72,0.44,2.69,4.14,5.34,1.90,2.73,,
August,3.55,2.91,1.77,3.55,1.52,5.48,5.26,2.52,0.86,2.75,,
September,1.44,1.36,2.01,1.48,1.16,2.48,5.17,6.35,0.11,4.23,,
October,0.99,3.38,1.90,4.53,0.71,1.54,1.90,1.96,2.67,5.04,,
November,5.39,2.06,1.85,4.66,1.36,0.54,1.76,1.71,2.56,4.10,,
December,2.46,2.30,0.97,1.73,1.75,2.12,0.91,3.14,4.27,2.82,,
Total,28.96,21.64,21.04,28.94,21.49,22.34,26.44,32.39,25.06,33.68,,
Calc annual,28.96,21.64,21.04,28.94,21.49,22.34,26.44,32.39,25.06,33.68,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
