"ENNERDALE (BLEACH GREEN)",,,,,,,,,,,,
Grid ref,NY085153,Long,-3.415245,Lat,54.524692,,,,,,,
Station no,3655/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.77,8.42,8.94,3.05,8.49,,
February,,,,,,0.99,5.75,6.68,3.23,8.61,,
March,,,,,,2.07,5.93,2.05,5.48,1.44,,
April,,,,,,1.82,2.98,2.27,4.55,7.34,,
May,,,,,,5.04,5.00,4.73,1.41,3.04,,
June,,,,,,3.29,3.41,4.63,5.57,3.58,,
July,,,,,,7.01,7.21,4.30,4.83,8.74,,
August,,,,,,13.78,5.87,4.99,2.29,5.51,,
September,,,,,,5.11,9.37,7.65,2.71,6.73,,
October,,,,,,5.89,7.56,8.14,8.98,3.18,,
November,,,,,,2.65,3.50,3.31,11.85,12.56,,
December,,,,,,8.00,7.89,5.00,11.98,7.59,,
Total,,,,,,60.42,72.89,62.69,65.93,76.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,60.42,72.89,62.69,65.93,76.81,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
