"FORFAR W.W. (DEN OF OGIL)",,,,,,,,,,,,
Grid ref,NO439620,Long,-2.918859,Lat,56.746240,,,,,,,
Station no,5604,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.03,2.35,0.92,2.36,1.69,,,,,,,
February,4.29,0.70,1.24,4.09,2.41,,,,,,,
March,2.17,5.41,0.70,2.99,1.36,,,,,,,
April,2.33,1.28,3.51,1.09,0.92,,,,,,,
May,1.84,3.34,2.15,5.45,1.99,,,,,,,
June,2.50,2.70,2.54,2.50,1.65,,,,,,,
July,3.81,2.67,4.21,2.84,1.05,,,,,,,
August,5.45,4.32,2.53,3.77,0.62,,,,,,,
September,2.25,1.19,3.25,3.40,1.60,,,,,,,
October,0.91,4.11,1.73,6.64,,,,,,,,
November,11.58,2.63,3.21,7.23,,,,,,,,
December,3.29,2.78,4.56,4.67,,,,,,,,
Total,45.45,33.48,30.55,47.03,,,,,,,,
Calc annual,45.45,33.48,30.55,47.03,13.29,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
