"MIDFORD (TUCKING MILL PUMPING STATION)",,,,,,,,,,,,
Grid ref,ST763616,Long,-2.341719,Lat,51.352976,,,,,,,
Station no,1975,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,3.03,1.06,2.55,3.40,4.81,2.67,2.88,4.14,3.91,,
February,4.76,0.76,2.30,4.18,1.95,0.25,3.32,3.96,0.21,2.80,,
March,3.43,3.18,0.65,4.13,1.32,1.03,2.46,1.30,3.42,2.95,,
April,3.59,1.65,2.81,0.48,1.14,1.59,0.11,1.16,2.01,1.45,,
May,2.72,5.07,2.14,2.77,4.37,0.48,2.52,2.31,2.14,1.05,,
June,1.55,2.60,1.65,5.55,3.50,2.24,1.58,5.18,2.30,3.30,,
July,1.40,0.81,3.45,3.75,0.24,2.98,4.22,3.02,2.03,3.74,,
August,5.40,4.12,2.86,3.04,0.82,4.67,3.77,3.10,1.69,4.29,,
September,3.87,3.70,5.39,4.38,2.06,3.37,3.69,4.47,0.13,4.48,,
October,0.92,5.13,4.22,3.37,1.52,2.35,2.56,2.50,2.78,7.90,,
November,10.51,5.18,1.73,7.18,3.37,0.60,2.74,2.57,4.23,4.97,,
December,2.87,3.38,1.87,2.61,4.40,3.97,2.62,3.59,6.59,4.94,,
Total,44.29,38.61,30.13,43.99,28.09,28.34,32.26,36.04,31.67,45.78,,
Calc annual,44.29,38.61,30.13,43.99,28.09,28.34,32.26,36.04,31.67,45.78,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
