"MORVERN (DRIMNIN)",,,,,,,,,,,,
Grid ref,NM553550,Long,-5.990623,Lat,56.622737,,,,,,,
Station no,5391,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.39,6.02,5.12,7.36,4.36,4.69,10.58,7.63,3.63,3.35,,
February,5.15,3.26,4.48,5.60,4.81,3.32,4.49,3.88,2.36,4.82,,
March,4.47,6.71,2.34,5.19,1.32,2.20,5.62,2.48,5.49,1.82,,
April,4.65,2.75,3.87,1.76,4.75,2.68,2.81,2.83,4.42,4.29,,
May,1.00,2.06,3.64,4.68,2.88,4.48,1.46,3.38,1.24,2.60,,
June,1.95,4.39,2.41,4.59,4.21,3.82,3.96,2.03,4.21,3.48,,
July,6.22,4.94,6.67,3.90,0.74,7.94,5.43,3.50,6.90,4.28,,
August,6.01,6.42,6.01,4.20,1.73,6.18,5.73,6.39,2.71,4.59,,
September,6.27,5.00,6.69,8.58,8.04,5.24,4.40,5.16,2.91,4.00,,
October,3.28,7.14,6.83,9.83,8.31,6.39,8.11,9.30,8.03,2.29,,
November,8.32,2.72,11.39,9.64,2.99,6.08,4.18,2.61,8.88,9.44,,
December,10.93,7.24,7.31,8.73,8.34,10.67,7.35,5.56,9.78,7.85,,
Total,67.64,58.65,66.76,74.06,52.48,63.69,64.12,54.75,60.56,52.81,,
Calc annual,67.64,58.65,66.76,74.06,52.48,63.69,64.12,54.75,60.56,52.81,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
