"ESKDALEMUIR (PEAT RIG)",,,,,,,,,,,,
Grid ref,NY184997,Long,-3.286284,Lat,55.284641,,,,,,,
Station no,5040/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.55,6.50,3.29,6.66,6.03,4.36,10.81,7.20,4.39,8.35,,
February,6.36,1.50,2.39,4.66,2.52,1.87,4.75,5.51,3.08,9.91,,
March,4.80,5.37,0.92,4.64,3.10,3.21,6.28,3.14,5.30,2.58,,
April,5.98,4.55,4.24,1.70,3.50,1.26,3.94,2.50,5.29,6.94,,
May,1.26,2.79,3.60,5.89,3.66,3.87,2.50,5.11,2.65,3.93,,
June,3.43,5.71,1.90,8.51,3.30,3.51,2.20,3.93,4.38,4.30,,
July,5.94,3.78,14.40,6.18,2.57,7.80,5.62,8.59,6.48,5.69,,
August,9.50,5.45,5.82,6.11,2.05,7.68,6.78,6.24,1.55,6.00,,
September,8.39,2.55,7.17,9.41,5.99,5.89,5.60,7.65,2.45,4.38,,
October,0.72,5.56,4.60,14.00,3.46,5.46,8.97,5.47,5.90,3.30,,
November,11.40,4.13,9.22,11.35,3.34,2.93,2.69,2.37,12.80,9.89,,
December,10.00,5.55,5.35,8.05,8.22,8.01,6.35,6.00,10.69,7.11,,
Total,75.33,53.44,62.90,87.16,47.74,55.85,66.49,63.71,64.96,72.38,,
Calc annual,75.33,53.44,62.90,87.16,47.74,55.85,66.49,63.71,64.96,72.38,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
