"KIRRIEMUIR (LOCHCRAIGS",,,,,,,,,,,,
Grid ref,NO275538,Long,-3.184626,Lat,56.670325,,,,,,,
Station no,1342633,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.60,3.63,1.64,4.18,,
February,,,,,,,3.96,2.40,0.55,4.17,,
March,,,,,,,3.51,4.40,2.62,2.96,,
April,,,,,,,1.14,1.21,3.69,3.31,,
May,,,,,,,2.19,3.11,0.86,2.85,,
June,,,,,,,1.35,3.68,2.75,2.50,,
July,,,,,,,5.43,3.96,3.75,4.19,,
August,,,,,,,4.68,4.05,1.20,6.72,,
September,,,,,,,2.33,3.61,0.90,2.18,,
October,,,,,,,2.15,2.79,2.92,6.56,,
November,,,,,,,1.54,1.10,5.82,4.91,,
December,,,,,,,5.00,5.03,7.46,2.81,,
Total,,,,,,,37.88,38.97,34.16,47.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,37.88,38.97,34.16,47.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
