"GLEN SPEY (MEALGARVE)",,,,,,,,,,,,
Grid ref,NN463959,Long,-4.533958,Lat,57.028521,,,,,,,
Station no,5696,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.62,5.70,5.04,7.28,3.20,6.79,10.30,6.00,4.00,5.10,,
February,3.00,3.93,7.03,6.59,6.03,3.45,5.60,3.85,4.00,5.50,,
March,2.85,3.50,1.73,3.55,2.02,3.85,4.40,2.80,3.84,1.40,,
April,5.75,2.30,4.85,2.46,3.41,2.75,1.90,3.36,5.80,6.35,,
May,1.12,2.90,4.74,4.93,3.35,3.71,1.95,5.45,1.30,1.75,,
June,2.90,2.93,3.93,3.45,1.55,3.65,2.30,2.20,5.40,3.25,,
July,3.18,2.47,5.18,2.17,0.50,5.65,4.70,3.55,5.45,2.35,,
August,4.90,4.15,3.87,3.38,1.85,5.51,5.70,4.15,3.15,6.05,,
September,3.27,4.65,5.52,7.37,5.55,6.20,5.40,4.05,1.13,3.65,,
October,2.01,7.53,2.92,9.16,8.10,6.10,7.10,7.50,7.95,2.15,,
November,7.10,3.22,10.68,8.30,2.10,5.90,2.65,1.60,7.75,4.95,,
December,10.10,6.02,9.41,13.44,7.15,11.00,10.00,6.90,7.65,7.00,,
Total,51.80,49.30,64.90,72.08,44.81,64.56,62.00,-999.00,57.42,49.50,,
Calc annual,51.80,49.30,64.90,72.08,44.81,64.56,62.00,51.41,57.42,49.50,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1050.41,-0.00,-0.00,,
