"ROYBRIDGE (ALLT LEACHDACH)",,,,,,,,,,,,
Grid ref,NN257790,Long,-4.861256,Lat,56.869570,,,,,,,
Station no,5736,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.00,5.25,5.30,7.65,5.97,6.32,13.40,6.70,3.65,5.45,,
February,4.50,3.41,5.75,4.00,6.67,3.85,6.35,3.25,4.50,6.00,,
March,2.76,5.20,2.24,3.50,1.93,3.00,5.65,1.85,5.20,1.40,,
April,6.75,4.30,5.64,4.17,2.57,2.60,1.80,3.00,4.85,6.50,,
May,0.60,3.06,4.25,5.00,3.20,5.30,1.95,5.25,1.75,3.00,,
June,2.28,3.00,1.80,2.72,2.65,2.60,2.50,3.70,5.55,3.55,,
July,3.33,3.15,6.23,2.91,1.05,5.90,6.80,3.20,5.35,2.50,,
August,4.68,3.80,4.90,3.75,1.33,5.40,5.70,4.10,3.80,4.95,,
September,4.02,5.20,5.67,8.59,7.08,6.60,3.45,4.45,1.55,3.60,,
October,1.80,8.40,4.87,10.17,7.30,6.10,7.70,9.20,8.75,2.05,,
November,3.50,3.25,10.85,11.71,2.85,5.01,1.75,1.65,7.35,7.00,,
December,10.00,3.86,6.50,13.99,10.97,13.60,9.10,6.25,9.25,6.80,,
Total,52.22,51.88,64.00,78.16,53.57,66.28,66.15,52.60,61.55,52.80,,
Calc annual,52.22,51.88,64.00,78.16,53.57,66.28,66.15,52.60,61.55,52.80,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
