"CAMBRIDGE (33, BARROW ROAD)",,,,,,,,,,,,
Grid ref,TL453565,Long,0.124053,Lat,52.187609,,,,,,,
Station no,1201/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.99,1.42,0.77,0.91,,,,,,,,
February,2.71,0.64,1.38,1.79,,,,,,,,
March,2.92,2.99,0.42,1.88,,,,,,,,
April,3.16,1.56,2.01,0.25,,,,,,,,
May,2.62,1.52,1.59,3.48,,,,,,,,
June,1.35,1.28,1.83,1.80,,,,,,,,
July,0.94,0.57,2.00,2.96,,,,,,,,
August,3.43,2.65,2.69,4.71,,,,,,,,
September,2.27,2.56,1.38,1.82,,,,,,,,
October,1.12,2.12,2.46,1.67,,,,,,,,
November,3.08,2.81,1.35,3.08,,,,,,,,
December,1.35,2.00,0.58,1.87,,,,,,,,
Total,26.94,22.12,18.46,26.22,,,,,,,,
Calc annual,26.94,22.12,18.46,26.22,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
