"LOCH NESS (GARTHBEG)",,,,,,,,,,,,
Grid ref,NH512182,Long,-4.466593,Lat,57.230264,,,,,,,
Station no,5704,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.73,4.67,2.44,3.57,2.35,3.53,6.51,3.37,,,,
February,2.75,1.81,2.99,2.47,3.73,3.19,3.62,,,,,
March,2.13,1.78,2.08,2.32,1.31,1.82,3.87,,,,,
April,6.33,1.29,4.02,1.72,0.94,2.86,1.24,,,,,
May,0.93,2.99,3.88,4.52,3.55,3.04,1.31,,,,,
June,2.50,2.85,4.27,2.09,1.28,3.01,1.99,,,,,
July,3.38,2.38,4.47,3.01,0.54,7.25,5.76,,,,,
August,6.83,5.46,3.73,3.03,0.57,7.25,6.45,,,,,
September,1.76,3.96,3.66,3.62,3.73,5.15,2.81,,,,,
October,1.59,4.76,1.58,7.25,5.46,4.71,4.72,,,,,
November,3.93,3.27,5.78,4.42,1.18,3.19,2.41,,,,,
December,7.36,4.25,5.25,8.45,7.08,7.15,5.77,,,,,
Total,44.22,39.47,44.15,46.47,31.72,52.15,46.46,,,,,
Calc annual,44.22,39.47,44.15,46.47,31.72,52.15,46.46,3.37,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
