"WISTOW HALL GARDENS",,,,,,,,,,,,
Grid ref,SP642957,Long,-1.054514,Lat,52.555363,,,,,,,
Station no,2499,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.46,2.12,1.17,1.21,1.93,3.43,1.22,2.18,3.33,4.61,,
February,3.34,0.72,1.54,2.51,1.66,0.62,2.90,3.99,0.02,1.70,,
March,3.84,2.78,1.62,2.25,2.43,1.04,2.28,1.59,2.13,1.50,,
April,2.71,2.28,2.09,0.23,0.91,0.87,0.22,0.72,1.98,0.66,,
May,3.24,3.86,1.94,2.54,3.70,0.70,1.49,1.93,0.32,0.76,,
June,1.71,1.52,2.60,2.73,2.61,2.91,2.76,4.17,0.91,2.86,,
July,1.60,0.37,2.15,2.28,1.35,3.33,3.57,3.20,0.95,2.85,,
August,4.49,3.26,3.02,3.24,0.84,4.06,3.21,2.71,1.09,6.00,,
September,1.86,1.80,1.20,1.85,0.91,1.82,4.29,2.72,0.10,3.76,,
October,0.75,2.82,2.80,2.83,1.23,1.94,1.08,2.07,2.09,5.20,,
November,4.98,2.67,1.30,4.68,1.30,0.79,1.91,1.92,2.11,2.78,,
December,2.31,2.75,0.69,2.60,2.13,2.94,2.25,2.43,4.07,3.22,,
Total,33.29,26.95,22.12,28.95,21.00,24.45,27.18,29.63,19.10,35.90,,
Calc annual,33.29,26.95,22.12,28.95,21.00,24.45,27.18,29.63,19.10,35.90,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
