"BRORA (UPPAT)",,,,,,,,,,,,
Grid ref,NC870025,Long,-3.913351,Lat,57.997303,,,,,,,
Station no,5800/55,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.05,6.81,4.24,,
February,,,,,,,,3.45,1.06,2.80,,
March,,,,,,,4.15,1.96,1.71,1.62,,
April,,,,,,,1.03,1.67,2.25,2.42,,
May,,,,,,,1.10,3.83,1.57,0.78,,
June,,,,,,,2.92,2.06,1.22,3.16,,
July,,,,,,,6.41,1.67,3.14,2.21,,
August,,,,,,,4.24,2.56,1.92,4.89,,
September,,,,,,,2.16,2.13,1.33,2.12,,
October,,,,,,,2.26,3.29,3.95,3.89,,
November,,,,,,,1.93,1.17,3.86,2.72,,
December,,,,,,,5.45,3.50,1.85,3.08,,
Total,,,,,,,,30.34,30.67,33.93,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.65,30.34,30.67,33.93,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
