"HALESWORTH (MODERN SCHOOL)",,,,,,,,,,,,
Grid ref,TM392783,Long,1.510839,Lat,52.350547,,,,,,,
Station no,217383,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.36,3.81,,
February,,,,,,,,,0.18,1.35,,
March,,,,,,,,,0.83,1.11,,
April,,,,,,,,,1.37,0.45,,
May,,,,,,,,,0.39,0.43,,
June,,,,,,,,,0.59,0.93,,
July,,,,,,,,,1.73,2.37,,
August,,,,,,,,,1.94,3.46,,
September,,,,,,,,,0.06,3.45,,
October,,,,,,,,,1.89,6.23,,
November,,,,,,,,,2.25,3.34,,
December,,,,,,,,,2.85,3.18,,
Total,,,,,,,,,16.44,30.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.44,30.11,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
