"GRANTOWN-ON-SPEY 2",,,,,,,,,,,,
Grid ref,NJ028274,Long,-3.615916,Lat,57.326747,,,,,,,
Station no,5674/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.26,2.78,1.95,2.04,1.13,2.52,2.32,,,,,
February,2.96,2.12,2.17,1.62,4.12,2.49,2.04,,,,,
March,3.14,1.57,0.93,1.47,1.47,1.02,2.67,,,,,
April,5.44,1.58,2.14,1.69,1.18,1.44,1.59,,,,,
May,1.06,1.56,2.09,4.48,3.49,0.90,1.75,,,,,
June,2.00,2.21,3.42,3.12,1.13,2.34,3.85,,,,,
July,3.47,1.95,4.96,3.45,0.72,4.84,,,,,,
August,3.74,3.59,2.35,2.47,0.90,5.80,,,,,,
September,0.60,2.79,2.46,2.50,1.88,2.83,,,,,,
October,1.58,1.94,0.92,4.99,5.06,3.44,,,,,,
November,4.06,3.53,2.11,2.49,0.85,1.70,,,,,,
December,2.97,5.21,3.32,5.67,5.28,3.05,,,,,,
Total,33.28,30.83,28.82,35.99,27.21,32.37,,,,,,
Calc annual,33.28,30.83,28.82,35.99,27.21,32.37,14.22,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
