"EAST LINTON (PHANTASSIE GARDENS)",,,,,,,,,,,,
Grid ref,NT597772,Long,-2.647499,Lat,55.986071,,,,,,,
Station no,5097/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.94,,,,,,,,
February,,,,1.57,,,,,,,,
March,,,,1.22,,,,,,,,
April,,,,1.11,,,,,,,,
May,,,,4.30,,,,,,,,
June,,,,2.59,,,,,,,,
July,,,,2.42,,,,,,,,
August,,,,4.08,,,,,,,,
September,,,,2.18,,,,,,,,
October,,,,4.39,,,,,,,,
November,,,,2.41,,,,,,,,
December,,,,1.43,,,,,,,,
Total,,,,29.64,,,,,,,,
Calc annual,0.00,0.00,0.00,29.64,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
