WHITBY - MULGRAVE CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ845126,Long,-0.697,Lat,54.502,Elevation,410,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.10,2.25,0.66,2.50,3.04,2.16,1.25,1.68,2.03,0.42,2.00,0.92,1.37,0.86,2.65,1.72,2.90,4.09,1.91,3.48,1.21,3.59,1.69,2.74,3.14,3.67,3.05,2.35,1.83,1.37,2.22,1.57,4.04,2.14,3.90,3.08,1.78,2.52,1.48,2.98,3.94,4.57,3.00,5.09,,,,,,,,,,,,1.75,2.08,1.14,2.28,1.61,3.53,1.55,3.53,3.59,4.88
February,,0.53,2.01,1.60,1.70,5.51,2.77,1.51,1.54,3.18,1.28,2.08,1.29,1.79,1.22,2.75,1.18,1.37,0.86,2.24,3.46,3.23,0.88,1.50,1.64,0.94,0.35,1.99,3.61,1.19,3.66,2.91,1.61,1.28,0.97,1.06,2.17,0.64,2.98,1.96,3.26,2.15,3.74,1.30,1.21,,,,,,,,,,,,3.08,0.86,1.99,1.78,2.26,3.00,2.21,4.41,0.48,2.67
March,,2.46,3.89,2.10,2.18,1.66,2.30,1.26,2.14,1.69,1.44,1.81,0.72,2.77,5.33,0.53,1.36,2.73,2.42,1.99,1.65,3.23,2.20,1.29,4.78,2.87,0.87,2.64,1.07,0.91,2.53,0.56,1.92,2.48,0.21,2.88,1.15,2.30,1.84,2.59,0.85,0.91,6.01,0.15,2.16,,,,,,,,,,,,4.93,2.14,0.23,1.88,2.20,0.90,0.88,3.62,0.97,1.30
April,,1.05,1.75,2.55,2.14,0.92,1.57,0.96,2.97,1.10,2.39,0.71,2.10,2.39,2.50,2.29,0.56,0.31,3.21,0.65,1.20,1.84,2.66,1.76,2.35,3.35,1.22,1.50,1.43,1.69,2.27,1.25,1.69,1.46,1.04,2.90,3.53,1.56,0.75,2.21,2.48,1.14,3.28,0.28,1.78,,,,,,,,,,,,1.91,1.12,2.41,0.17,0.83,0.67,0.59,1.77,3.12,0.77
May,,1.36,1.17,4.50,3.24,1.52,2.07,2.44,2.92,2.64,1.01,4.49,4.63,2.00,1.87,3.17,1.11,3.27,2.86,1.45,2.38,2.84,1.82,2.29,1.04,1.15,1.15,1.04,3.67,4.65,1.86,1.54,0.99,1.36,1.28,1.89,1.82,8.33,2.16,0.94,1.62,2.44,4.14,3.45,2.12,,,,,,,,,,,,6.54,1.77,1.97,1.91,2.42,0.56,0.76,2.74,0.50,1.03
June,,2.09,2.65,1.05,1.41,3.16,1.45,2.80,3.29,1.01,1.14,0.93,2.32,1.15,3.42,1.87,6.55,5.54,1.51,1.86,0.35,1.96,1.68,0.65,1.37,0.77,0.19,2.38,1.07,1.77,0.63,3.52,3.01,4.64,1.91,1.42,6.41,0.80,2.38,1.91,2.58,3.83,1.41,2.22,2.88,,,,,,,,,,,,2.11,1.19,3.40,2.18,2.24,3.00,2.57,3.09,1.58,0.82
July,,1.49,1.29,1.29,1.48,1.61,4.34,2.26,3.46,1.94,0.82,2.07,1.57,2.12,3.28,2.01,1.49,5.36,1.26,5.47,5.58,1.59,2.47,3.05,2.51,6.90,1.66,4.25,3.00,4.64,2.71,3.32,2.80,0.83,2.80,8.53,3.39,3.49,2.93,1.91,0.39,2.55,1.86,3.69,2.10,,,,,,,,,,,,1.98,2.13,2.65,1.40,1.11,2.64,3.56,3.14,1.57,4.68
August,,2.42,2.21,2.28,1.35,6.03,1.62,2.31,1.60,3.46,2.26,2.76,2.58,2.44,5.06,2.95,4.48,4.16,0.97,0.85,2.85,3.06,6.59,1.97,2.43,2.01,4.90,4.25,3.69,2.01,3.95,4.06,4.95,4.14,3.39,3.23,2.86,2.12,0.25,2.69,1.38,2.25,1.54,2.57,3.42,,,,,,,,,,,,6.27,2.02,2.58,6.53,1.43,6.56,2.56,2.39,0.49,3.28
September,1.48,3.50,3.84,0.27,3.62,0.63,0.59,0.79,3.55,1.02,2.02,0.72,0.56,2.23,2.28,0.95,3.16,2.58,1.60,1.51,2.59,1.45,0.84,4.81,1.24,1.48,0.82,3.54,1.94,2.76,2.67,1.88,4.72,0.74,0.47,4.90,4.83,2.11,1.91,0.92,5.41,3.24,2.25,1.40,1.65,,,,,,,,,,,,1.17,6.52,1.26,1.39,1.20,1.79,4.87,1.50,0.97,3.22
October,4.85,4.94,1.61,4.82,2.76,4.50,1.48,2.91,6.70,0.48,4.57,3.95,5.86,1.15,2.57,2.68,2.29,2.85,5.17,2.34,1.60,3.26,2.78,2.23,5.58,2.20,2.05,1.81,2.02,4.50,2.38,4.58,2.10,3.69,2.55,2.08,1.59,4.54,4.96,1.83,3.55,1.99,3.75,3.56,6.84,,,,,,,,,,,,1.65,2.61,2.09,4.17,3.00,2.12,2.67,1.50,1.82,8.17
