SALISBURY-PLAIN-IMBER,,,,,,,,,,,,,,,,,,,,
Grid ref,ST964485,Long,-2.052947,Lat,51.235671,Elevation,400,ft,,,,,,,,,,,,
Station no,RR6386,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.04,2.58,4.08,3.42,2,2.09,5.2,4.32,1.93,4.2,,,,
February,,,,,,,,1.91,1.65,2.89,2.27,1.34,2.63,1.42,2.4,2.33,,,,
March,,,,,,,,3.87,1.57,1.28,1.37,1.09,2.31,3.12,0.72,1,,,,
April,,,,,,,,1.8,2.82,0.96,0.59,4.03,2.19,0.86,1.5,1.48,,,,
May,,,,,,,3.89,2.12,1.23,5.21,1.13,0.9,2.42,1.33,0.47,2.39,,,,
June,,,,,,,3.82,1.5,0.41,1.75,0.34,2.95,3.48,2.47,1.39,2.38,,,,
July,,,,,,,0,4.64,0.67,-999,1.87,4.49,2.68,2.07,1.08,6.04,,,,
August,,,,,,,3.82,3.09,5.2,-999,1.59,1.61,4.14,2.82,3.07,1.38,,,,
September,,,,,,,3.82,2.55,4.34,5.27,1.64,5.36,1.95,2.15,3.96,2.65,,,,
October,,,,,,,,1.96,3.22,1.8,5.18,1.82,4.79,1.7,4.86,6.43,,,,
November,,,,,,,2.88,1.09,1.54,1.6,1.74,0.36,5.12,3.21,2.26,4.66,,,,
December,,,,,,,2.57,1.58,5.87,3.67,2.35,2.02,4.75,0.68,2.75,0.96,,,,
Total,,,,,,,,28.69,,29.88,22.07,28.06,41.66,26.15,26.39,35.9,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1866 Feb incomplete month value removed,,,,,,,,,,,,,,,,,,,,
1866 Jul 'very dry' interpreted as zero,,,,,,,,,,,,,,,,,,,,
1866 Oct incomplete month value removed,,,,,,,,,,,,,,,,,,,,
1869 Jul Aug -999 (2.03),,,,,,,,,,,,,,,,,,,,
