JERSEY-ST-HELIER-HASTINGS-TERRACE,,,,,,,,,,,,,,,,,,,,
Grid ref,WV656478,Long,-2.09882,Lat,49.18023,Elevation,21,ft,,,,,,,,,,,,
Station no,RR8514,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,3.27,1.88,5.08,3.15,1.8,1.21,4.2,1.77,,,,,,,,
February,,,,,2.44,4.12,1.48,0.92,1.95,2.6,1.71,0.04,,,,,,,,
March,,,,,1.8,1.89,3.21,0.87,3.64,1.39,1.56,2.46,,,,,,,,
April,,,,,1.77,1.81,2.25,2.06,2.06,1.52,2.53,0.75,,,,,,,,
May,,,,,1.12,2,4.47,2.07,1.01,1.61,2.56,2.52,,,,,,,,
June,,,,,4.24,1.14,0.69,0.71,2.89,4.32,2.69,2.59,,,,,,,,
July,,,,,1.61,0.06,2.63,0.41,5.75,2.02,5.26,1.12,,,,,,,,
August,,,,,1.27,1.06,1.89,1.4,2.72,2.73,2.49,4.85,,,,,,,,
September,,,,,3.33,3.76,1.57,1.59,1.01,0.73,1.01,1.45,,,,,,,,
October,,,,,2.6,6.35,7.9,3.47,1.62,7.5,2.77,7.24,,,,,,,,
November,,,,,2.13,3.71,4.39,5.42,4.76,2.28,4.04,2.92,,,,,,,,
December,,,,1.75,6.2,1.63,7.08,3.64,2.46,3.09,1.61,3.83,,,,,,,,
Total,,,,,31.78,29.41,42.64,25.71,31.67,31,32.43,31.54,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hastings Terrace Hastings Road,,,,,,,,,,,,,,,,,,,,
Elevation in this area is actually 40ft,,,,,,,,,,,,,,,,,,,,
