TAYMOUTH PERTH,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 785 465,Long,-3.980904,Lat,56.594573,Elevation,370,ft,,,,,,,,,,,,
Station no,RR2826,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,4.4,7,4.4,3.8,5.2,2.3,2.9,4.1,,,,
February,,,,,,,,,1.3,4.5,2.2,4.5,1.6,6.5,4.3,4.7,,,,
March,,,,,,,,,1.4,4.9,4.2,5,12,2.3,2.7,1.5,,,,
April,,,,,,,,,2.7,2.8,0.2,0.5,2.3,3.7,1.1,0,,,,
May,,,,,,,,1.9,2.2,,1.1,0.2,3.1,1.5,1.2,2.7,,,,
June,,,,,,,,2.4,2.2,1.9,4.9,3.4,5.11,2.5,3.1,0,,,,
July,,,,,,,,3.1,5.2,1.7,2.3,2.5,2.7,0.2,3,3.5,,,,
August,,,,,,,,2.3,2.6,2.4,,5.2,,5.3,1.5,4.2,,,,
September,,,,,,,,3.5,3.1,3.7,,4,,3.5,5.6,0.7,,,,
October,,,,,,,,2.4,3.5,4,,3.2,7.1,5.3,4.2,3.2,,,,
November,,,,,,,,2.7,2.2,4.2,3.3,5.2,3.4,3.5,7.1,3.3,,,,
December,,,,,,,,6.6,5.8,3.5,8,3.2,7.4,4.3,4.3,7.5,,,,
Total,,,,,,,,,36.6,,,40.7,,40.9,41,35.4,,,,
