HITCHIN-KNIGHTSWOOD,,,,,,,,,,,,,,,,,,,,
Grid ref,TL190289 ,Long,-0.27006697,Lat,51.945879,Elevation,300,ft,,,,,,,,,,,,
Station no,974/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.18,2.65,4.31,1.4,2.16,1.58,1.73,4.23,1.32,0.99,3.46,1.86,0.96,1.03,2.54,4.25,1.15,2.48,3.06,2.39
February,2.08,0.96,1.01,0.98,1.58,1.76,1.71,1.06,1.29,3.7,4.23,0.6,1.6,1.96,2.11,0.67,2.69,2.49,0.1,1.86
March,3.03,1.14,0.6,0.16,0.56,1.67,5.42,0.85,1.24,0.64,3.09,2.57,0.63,2.51,1.27,0.49,1.19,1.26,2.05,1.29
April,1.25,1.04,1.06,2.21,1.05,1.04,1.9,1.34,1.57,1.98,2.87,1.55,2.13,0.35,0.5,1.15,0.28,1.05,2.01,0.46
May,2.35,2.53,2.16,1.51,1.76,2.36,1.24,2.7,2.28,3,2.72,2.1,1.64,2.64,4.52,0.57,1.4,1.86,0.76,1.46
June,1.03,0.36,2.41,1.76,1.87,2.55,2.04,5.39,0.8,1.11,0.82,1.39,1.91,3.11,4.38,3.46,1.43,5.41,1.14,2.12
July,4.22,2.73,0.93,1.36,2.6,2.12,1.83,1.58,2,5.46,1.47,0.46,3.1,2.73,0.37,2.75,3.48,3.93,3.29,3.07
August,3.98,1.73,1.43,2.04,1.33,3.51,0.03,2.6,1.25,3.7,4,3.55,2.27,3.99,1.2,4.66,3,2.29,1.33,3.16
September,0.44,1.81,1.79,2.59,2.19,3.23,1.3,2.01,0.38,2.98,2.65,3.13,1.89,1.77,1.37,1.98,2.79,3.76,0.12,3.91
October,1.38,3.65,2.2,3.52,2.1,1.86,0.19,2.36,4.97,0.29,0.89,2.65,2.93,1.86,2.65,1.6,2.33,2.21,1.63,5.32
November,2.34,1.94,1.12,3.04,0.75,5.65,1.25,1.78,2.59,4.95,4.21,3.07,1.36,4.86,1.46,0.96,1.91,1.93,2.18,4.04
December,1.16,2.61,1.15,1.21,2.91,1.97,2.68,2.17,1.42,1.36,1.68,2.18,0.54,2.28,2.09,3.69,2.04,2.77,3.64,3.42
Total,25.44,23.15,20.17,21.78,20.86,29.3,21.32,28.07,21.11,30.16,32.09,25.11,20.96,29.09,24.46,26.23,23.69,31.44,21.31,32.5
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location indicators on TYR conflict but NGR used is the 1950s location on TYR,,,,,,,,,,,,,,,,,,,,
