"WALTHAM ABBEY PUMPING STATION",,,,,,,,,,,,
Grid ref,TL375003,Long,-0.012414,Lat,51.684632,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.74,0.61,0.83,1.71,2.33,1.41,3.62,0.75,1.27,0.71,,
February,3.52,1.11,1.23,0.62,2.81,1.02,1.98,1.12,1.48,0.53,,
March,0.62,2.21,1.49,2.07,1.48,2.81,1.12,0.82,2.60,3.08,,
April,1.03,1.97,0.58,1.40,0.82,1.83,0.43,2.77,2.73,1.70,,
May,1.07,1.47,2.89,2.13,1.85,1.96,1.21,1.81,1.84,1.27,,
June,2.34,0.60,3.61,6.11,0.94,3.42,2.83,1.54,1.49,3.20,,
July,1.21,2.47,1.24,5.41,2.83,1.49,1.25,2.19,3.85,3.14,,
August,2.33,1.57,4.96,4.39,1.69,2.63,0.54,1.79,3.05,1.77,,
September,0.83,1.58,0.81,2.82,1.20,1.85,1.52,0.74,2.16,2.25,,
October,2.02,2.00,1.03,5.69,1.49,1.47,3.65,2.65,1.70,3.91,,
November,1.86,0.67,1.63,1.82,1.46,2.70,3.97,2.32,0.59,0.80,,
December,2.98,3.25,1.18,1.53,1.62,0.80,2.56,3.21,2.00,2.71,,
Total,22.55,19.51,21.48,35.70,20.52,23.39,24.68,21.71,24.76,25.07,,
Calc annual,22.55,19.51,21.48,35.70,20.52,23.39,24.68,21.71,24.76,25.07,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
