LONGFORMACUS (RAWBURN FILTER HOUSE),,,,,,,,,,,,
Grid ref,NT677563,Long,-2.516780,Lat,55.798902,,,,,,,
Station no,5091/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,1.22,2.15,2.37,1.29,4.40,,
February,,,,,,1.14,2.01,2.25,0.61,2.51,,
March,,,,,,0.74,1.80,3.49,0.97,1.75,,
April,,,,,,0.76,0.68,2.46,2.38,1.65,,
May,,,,,,0.93,1.41,3.11,0.52,1.39,,
June,,,,,,2.03,1.54,3.42,2.00,1.15,,
July,,,,,,3.05,3.34,5.03,2.96,3.41,,
August,,,,,,8.63,3.68,2.90,0.78,3.92,,
September,,,,,,2.63,,2.40,0.56,2.22,,
October,,,,,,1.71,1.48,2.03,2.92,8.93,,
November,,,,,,0.91,1.21,1.00,6.41,3.61,,
December,,,,,,1.84,2.26,5.60,4.87,3.22,,
Total,,,,,,25.59,,36.06,26.27,38.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.59,21.56,36.06,26.27,38.16,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,0.00,0.00,,
