LEATHEMSTOWN (BELFAST WATERWORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ214723,Long,-6.122768,Lat,54.584524,Elevation,534,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6232/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5,5.64,3.3,7.79,6.25,5.03,3.6,4.33,4.05,8.51,3.61,1.81,3.72,4.94,1.76,2.87,4.97,3.81,3.7,4.26,2.35,4.26
February,,,,,,,,,3.3,2.73,3.62,2.18,1.62,1.23,3.54,2.51,2.2,1.86,2.16,4.66,4.09,1.21,1.46,3.98,3.27,1.43,2.15,4.65,1.59,2.95
March,,,,,,,,,4.5,5.41,4.63,2.67,1.33,0.69,1.46,2.59,5.54,2.1,3.31,2.31,3.26,1.65,0.26,3.37,1.39,1.72,2.96,2.3,2.8,2.93
April,,,,,,,,,3.07,5.07,3.61,2.04,2.84,2.95,2.04,0.92,3.81,1.48,2.75,5.31,1.48,2.21,1.47,0.6,2.53,1.13,1.48,2.01,2.99,3.13
May,,,,,,,,,0.93,1.29,2.34,4.57,5.73,1.76,5.05,1.58,3.81,2.22,2.35,1.36,3.15,1.36,1.67,4.24,2.64,1.1,2.38,3.91,1.29,4.98
June,,,,,,,,,2.27,1.7,0.52,0.37,4.53,2.92,5.23,3.6,4.17,5.51,0.87,2.87,3.02,3.67,1.96,3.06,4.57,3.33,1.1,6.3,2.23,2.5
July,,,,,,,,,6.02,5.29,4.72,4.82,2.04,4.89,3.98,3.57,4.57,3.68,2.54,6.09,5,2.19,5.57,4.07,1.65,2.69,4.64,4.13,5.56,7.6
August,,,,,,,,,2.25,0.94,4.08,5.98,6.72,2.66,1,5.92,0.45,4.84,4.43,6.69,4.06,6.14,3.5,2.87,1.28,7.91,4.89,3.92,0.99,5.96
September,,,,,,,,,2.89,2.57,1.87,5.9,3.71,5.79,2.35,7.62,2.59,5.04,2.92,7.89,2.85,1.94,3.23,3.56,4.28,3.5,5.88,6.02,1.73,2.98
October,,,,,,,,,3.41,5.91,6.16,4.97,4.52,4.46,4.88,1.4,2.1,3.92,6.73,3.69,0.84,4.59,1.68,5.66,2.36,2.6,3.8,2.37,4.05,5.54
November,,,,,,,,,5.53,6.18,4.26,0.77,3.17,5.74,1.13,5.35,5.35,3.49,3.87,3.19,8.22,3.91,3.64,5.83,2.67,1.31,2.12,2.05,4.24,4.05
December,,,,,,,,,3.14,4.17,2.14,5.04,2.69,4.79,4.59,4.89,3.32,6.46,5.56,4.19,4.57,4.61,3.55,4.62,4.82,5.48,5.43,6.32,6.33,3.02
Total,,,,,,,,,42.31,46.9,41.25,47.1,45.15,42.91,38.85,44.28,41.96,49.11,41.1,50.06,44.26,38.42,29.75,44.73,36.43,36.01,40.53,48.24,36.15,49.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16220,LEATHEMSTOWN RESR ,01/01/1939,31/12/1977,,,,,,,,,,,,,,,,,,,,,,,,,,,
