"LEATHEMSTOWN (BELFAST WATERWORKS)",,,,,,,,,,,,
Grid ref,IJ214723,Long,-6.122768,Lat,54.584524,,,,,,,
Station no,6232/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.72,4.94,1.76,2.87,4.97,3.81,3.70,4.26,2.35,4.26,,
February,4.09,1.21,1.46,3.98,3.27,1.43,2.15,4.65,1.59,2.95,,
March,3.26,1.65,0.26,3.37,1.39,1.72,2.96,2.30,2.80,2.93,,
April,1.48,2.21,1.47,0.60,2.53,1.13,1.48,2.01,2.99,3.13,,
May,3.15,1.36,1.67,4.24,2.64,1.10,2.38,3.91,1.29,4.98,,
June,3.02,3.67,1.96,3.06,4.57,3.33,1.10,6.30,2.23,2.50,,
July,5.00,2.19,5.57,4.07,1.65,2.69,4.64,4.13,5.56,7.60,,
August,4.06,6.14,3.50,2.87,1.28,7.91,4.89,3.92,0.99,5.96,,
September,2.85,1.94,3.23,3.56,4.28,3.50,5.88,6.02,1.73,2.98,,
October,0.84,4.59,1.68,5.66,2.36,2.60,3.80,2.37,4.05,5.54,,
November,8.22,3.91,3.64,5.83,2.67,1.31,2.12,2.05,4.24,4.05,,
December,4.57,4.61,3.55,4.62,4.82,5.48,5.43,6.32,6.33,3.02,,
Total,44.26,38.42,29.75,44.73,36.43,36.01,40.53,48.24,36.15,49.90,,
Calc annual,44.26,38.42,29.75,44.73,36.43,36.01,40.53,48.24,36.15,49.90,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
