NEWNHAM-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ975597,Long,0.831832,Lat,51.302151,Elevation,107,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,311/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.02,5.39,2.14,2.88,2.14,4.1,1.29,1.93,1.68,2.41,3.52,1.36,1.96,3.17,2.4,1.06,2.02,3.47,4.37,1.89,3.02,2.3,3.01
February,,,,,,,,0.89,1.29,1.58,2.25,0.55,1.42,1.29,1.27,2.37,1.62,1.71,0.98,3.85,6.03,1.02,1.5,2.05,1.97,0.86,3.8,2.53,0.03,2.16
March,,,,,,,,0.55,1.82,3.45,1.83,2.53,0.3,0.22,1.75,1.68,4.45,0.87,0.74,0.73,3.62,3.18,0.22,2.49,1.63,0.38,0.87,1.72,1.25,1.84
April,,,,,,,,0.56,2.12,1.23,1.99,1.39,1.23,1.16,0.95,2.45,1.29,1.58,1.45,1.98,2.21,0.98,2.04,0.26,0.17,0.99,0.19,1.7,2.81,0.68
May,,,,,,,,2.21,1.91,0.89,1.66,3.96,3.14,0.38,2.28,2.53,0.95,1.63,1.77,1.74,2.29,0.84,2.32,1.75,4.18,0.56,1.43,2.27,1.01,1.95
June,,,,,,,,0.73,1.54,1.8,1.37,0.46,1,1.43,0.42,1.94,2.13,2.68,0.54,1.34,1.38,1.56,2.64,3.34,2.08,2.32,1.51,4.98,1.25,1.43
July,,,,,,,,1.27,1.82,3.7,2.58,2.9,3.14,2.51,2.72,1.66,2.05,1.95,0.5,2.26,1.49,0.97,3.41,2.39,2.35,2.79,3.36,1.54,2.57,2.7
August,,,,,,,,2.33,1.59,0.17,3.3,2.05,1.14,2.58,2.82,4.58,0,2.42,0.8,2.83,3.17,3.01,1.57,3.67,3.1,3.37,2.52,3.49,1.31,4.05
September,,,,,,,,2.18,1.3,1.04,0.31,3.08,2.45,2.72,0.63,2.35,1.27,1.99,1.69,2.01,3.28,4.32,3.8,1.45,1.67,1.91,2.57,2.82,0.18,2.51
October,,,,,,,,3.1,8.1,4.3,1.99,3.41,2.58,4.43,1.93,1.41,0.53,1.14,6.74,0.29,1.05,2.07,2.44,2.27,4.81,1.26,1.04,3.86,2.63,6.55
November,,,,,,,2.43,3.1,5.45,6.89,4.17,2.2,1.26,4.3,0.65,4.72,1.1,1.41,3.59,5.55,4.04,4.22,1.62,5.83,0.77,0.61,3.41,1.68,4.57,5.65
December,,,,,,,5,2.8,1.6,1.61,1.97,2.34,2.16,2.02,3.76,2.67,2.48,2.99,1.24,1.91,2.23,2.99,0.72,1.66,1.9,3.25,2.25,3.48,5.59,3.72
Total,,,,,,,,22.74,33.93,28.8,26.3,27.01,23.92,24.33,21.11,30.04,20.28,23.89,21.4,26.45,33.96,27.56,23.34,29.18,28.1,22.67,24.84,33.09,25.5,36.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
