CHISLEHURST-HEATHFIELD-LODGE,,,,,,,,,,
Grid ref,TQ441706,Long,0.070835552,Lat,51.41611,Elevation,295,ft,,
Station no,RR8312,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,2.38,,,,,,,,
February,,1.06,,,,,,,,
March,,1.21,,,,,,,,
April,,3.08,,,,,,,,
May,,0.71,,,,,,,,
June,,2.31,,,,,,,,
July,,3.34,,,,,,,,
August,,0.71,,,,,,,,
September,,4.62,,,,,,,,
October,,0.97,,,,,,,,
November,,0.5,,,,,,,,
December,,1.37,,,,,,,,
Total,,22.26,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Second 5 inch gauge,,,,,,,,,,
