CHISLEHURST-HEATHFIELD-LODGE,,,,,,,,,,
Grid ref,TQ441706,Long,0.070835552,Lat,51.41611,Elevation,295,ft,,
Station no,RR8312,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.44,2.42,,3.29,1.13,,,,,
February,1.01,1.09,,2.1,,,,,,
March,2.24,1.37,,1.63,,,,,,
April,0.41,3.17,,0.93,,,,,,
May,0.79,0.75,,1.45,,,,,,
June,0.39,2.47,,2.44,,,,,,
July,1.55,3.46,,2.14,,,,,,
August,1.86,0.77,,3.77,,,,,,
September,2.34,4.77,,2.09,,,,,,
October,3.69,1.03,5.23,3.32,,,,,,
November,1.54,0.55,3.63,2.52,,,,,,
December,2.93,1.46,4.67,0.38,,,,,,
Total,20.19,23.31,,26.06,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
8 inch gauge,,,,,,,,,,
1872 incomplete column total removed,,,,,,,,,,
