HULL SPRINGHEAD PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA042294,Long,-0.421,Lat,53.751,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.98,1.38,1.89,2.80,0.71,1.37,1.68,1.23,0.75,2.64,1.05,1.40,0.86,1.79,1.14,2.92,3.61,1.76,3.04,0.72,3.06,1.61,3.11,2.06,2.15,2.81,1.21,2.37,1.49,3.57,1.52,4.21,2.27,2.76,2.31,1.25,1.30,1.40,2.16,3.24,3.28,1.99,4.06,1.67,2.61,2.80,3.17,2.21,3.48,2.06,2.04,4.39,0.90,1.12,1.76,1.58,0.92,1.53,1.55,4.83,1.50,2.04,2.09,4.33
February,2.45,1.43,1.01,3.22,1.54,1.29,0.89,2.41,0.86,1.87,1.86,2.03,1.12,1.86,1.25,1.29,0.67,0.88,3.18,3.13,0.78,1.88,1.99,1.38,0.32,2.95,4.15,1.17,2.36,1.56,1.27,1.65,0.75,0.63,2.59,0.69,3.25,1.58,2.98,2.76,2.51,0.87,1.10,1.85,2.56,1.32,0.33,2.13,1.58,2.29,2.13,1.09,0.54,3.60,2.41,0.60,1.56,1.92,1.92,1.52,1.94,3.69,0.23,1.64
March,2.73,1.54,1.14,0.43,1.82,1.52,2.32,1.82,2.30,1.90,1.28,2.24,3.45,0.83,2.06,2.63,2.37,1.85,1.15,3.52,1.79,0.94,2.78,3.07,1.04,1.82,1.62,1.17,1.24,0.77,1.46,2.96,0.10,1.91,0.69,1.72,2.15,1.67,0.71,0.78,1.99,0.23,2.16,1.71,2.97,1.02,0.33,0.34,0.61,1.39,4.18,0.57,1.01,1.15,2.79,2.38,0.47,1.83,2.07,1.23,1.64,1.65,1.50,0.88
April,1.54,2.52,2.46,1.22,1.25,1.37,1.56,1.23,2.27,0.98,1.10,2.53,2.11,1.78,1.46,0.19,1.89,0.48,0.58,1.20,1.89,1.28,1.76,3.98,0.99,1.72,1.48,1.61,2.13,1.66,2.33,1.05,1.07,2.28,2.86,2.64,1.10,2.27,2.07,1.86,3.49,0.24,1.38,1.45,1.16,0.88,1.02,2.39,1.83,0.80,1.23,2.27,2.16,2.82,1.14,1.13,1.89,0.24,0.65,1.69,0.28,1.20,2.77,1.07
May,1.27,1.65,3.51,1.34,0.73,2.24,3.31,1.60,0.57,1.90,3.17,1.30,1.28,1.76,0.48,2.99,2.82,1.63,1.45,2.59,1.53,2.49,0.94,2.68,2.16,1.22,3.82,3.20,2.98,2.37,0.93,0.86,1.23,1.91,2.52,4.52,1.63,0.82,0.42,1.68,3.45,3.12,1.34,1.16,1.44,2.99,2.29,1.45,0.93,1.23,0.52,1.73,1.03,2.45,3.92,1.67,2.18,3.44,2.94,0.50,2.71,2.80,0.29,0.60
June,1.84,1.48,0.92,1.72,1.76,2.57,1.59,1.31,1.41,1.59,4.09,0.85,3.80,2.36,3.63,4.44,0.77,1.37,0.52,2.89,1.36,0.59,0.65,1.34,0.25,1.07,0.52,1.90,0.06,3.80,2.97,2.76,1.63,1.63,4.22,0.41,1.87,1.79,2.59,2.85,1.34,2.08,2.66,0.53,0.20,1.43,2.19,1.93,2.70,2.32,2.19,4.72,0.45,1.42,1.32,2.03,3.29,1.39,2.00,2.65,3.46,3.56,0.92,0.44
July,0.30,0.45,1.92,1.31,1.67,1.99,2.79,4.26,2.26,1.70,0.99,2.60,3.36,3.28,0.75,4.47,0.40,2.43,5.83,1.95,1.20,3.55,1.95,3.36,0.67,5.44,2.81,2.64,1.58,1.56,2.22,0.47,1.83,5.40,3.26,1.83,1.60,1.75,0.19,3.52,2.13,4.29,3.39,6.31,3.17,2.29,1.15,2.54,0.95,3.23,1.81,1.10,1.78,2.49,1.30,1.91,2.29,1.92,0.87,3.54,4.33,4.60,2.08,4.16
August,2.75,3.70,0.49,3.94,4.10,2.06,3.15,3.56,3.38,1.79,1.52,2.16,5.86,3.71,2.21,5.10,0.67,2.36,2.41,2.74,6.15,2.97,2.44,1.03,2.58,3.32,2.83,2.47,1.92,2.94,5.38,4.69,2.04,3.41,3.70,1.49,0.58,2.38,1.93,1.24,0.88,2.55,2.02,0.87,2.46,1.80,2.69,3.02,2.54,4.49,0.35,3.34,1.49,3.05,5.34,1.18,2.92,5.61,0.75,5.53,2.88,1.95,0.27,2.12
September,3.28,0.29,2.85,1.05,0.78,0.85,3.22,1.36,1.55,0.84,0.70,1.95,1.86,0.38,2.30,1.73,1.32,0.91,1.03,0.94,0.85,4.53,1.69,1.68,0.62,2.00,3.79,2.49,2.87,0.59,3.74,0.21,0.75,2.93,3.81,1.81,2.48,2.24,4.43,1.97,1.12,2.08,0.94,0.95,0.97,2.42,4.44,3.61,0.97,3.83,0.90,1.45,0.77,2.78,0.85,3.66,0.60,2.19,0.78,1.42,3.22,1.79,0.22,2.60
October,1.58,3.27,2.58,2.31,1.85,3.08,5.97,1.06,2.01,4.75,4.04,0.97,2.63,2.41,2.17,3.00,3.00,2.19,1.32,2.93,2.91,1.32,3.62,1.20,1.13,1.27,1.47,3.56,2.44,3.44,1.65,4.47,2.11,2.28,1.34,3.03,5.80,1.40,4.44,2.08,2.59,3.03,3.22,3.95,2.63,1.24,1.51,2.38,2.05,1.55,0.54,1.24,2.45,1.27,0.81,2.13,1.76,3.89,1.62,0.96,1.59,1.64,2.11,5.26
