MOURNE MOUNTAINS (SLIEVE BEARNAGH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ314279,Long,-5.98778,Lat,54.183361,Elevation,1954,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6197/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,11.5,12,7,14.45,11.1,8.4,5.6,8.85,7.3,10.25,5.6,3.7,6.35,6.1,2.85,3.35,6.9,5.6,9.35,8.15,3.7,7.3
February,,,,,,,,,5,8.4,7.5,2.45,3.75,2.3,7.65,4.1,3,5.8,4.4,8.5,4.1,1.25,2.95,9.55,7.2,1.85,4,6.65,2.6,6.15
March,,,,,,,,,5.5,9.15,3.7,7.4,2.15,0.8,3.3,3.8,10.1,4.6,4.7,5.1,5.1,4.65,1.5,7.8,2.3,2.56,9.7,2,7.2,5.2
April,,,,,,,,,4.55,7,4.4,5.4,5.25,5.5,3.1,2.55,7.6,3.3,5.4,7.1,2.4,3.95,2.45,1.3,4.2,1.75,2.75,2,4.5,5.4
May,,,,,,,,,1.95,2.4,4.5,6.6,5.9,2.45,5.4,1.7,4.7,4.6,3.4,2.1,3.1,1.5,4.4,6.2,4.95,2.25,4.6,6,2,2.7
June,,,,,,,,,3.95,2.1,0.65,0.65,6.85,5.9,7.4,8.6,7.2,5.2,1.8,3.25,3.1,4.1,3.1,4.4,7.3,5,1.6,9.15,3.2,5.2
July,,,,,,,,,10,6.2,5.2,6.5,3.1,7,6.7,6.1,5.9,5.6,4.2,8.65,4.5,2.85,8.1,5.8,2.3,5.8,9.35,5.25,4.5,10
August,,,,,,,,,3.6,1.95,9.1,9.25,10.05,5.5,2.45,6.6,0.5,6.7,6.4,10.1,7.55,5.2,6.1,5.1,2.05,10.2,7.65,10.15,1.5,6.1
September,,,,,,,,,6.75,3.9,4.8,12.35,5.3,9.75,6.85,14.6,6.2,8.35,4.4,10.1,6.4,3.1,5.95,7.35,3.55,6.58,10.75,10,2.45,5.15
October,,,,,,,,,6.2,14.3,7.75,5.35,7.85,8.1,6.55,2.7,3.5,7.3,9.5,5.6,1.55,6.55,5.7,11.65,3.1,5.05,7.55,4.2,8.15,9.5
November,,,,,,,,,10.2,10.45,8.4,1.25,4.75,10.3,2.3,10.2,8.8,4.8,5.3,3.9,9.1,5.15,7.45,10.95,4.35,3.1,3.5,4.15,7,8.75
December,,,,,,,,,6.6,10.4,4.9,10.1,4.1,8.65,9.15,9.2,6.1,9.5,8.1,4.1,7.4,5.55,6.25,7.2,7.1,7.4,9.4,5.95,12,6.55
Total,,,,,,,,,75.8,88.25,67.9,81.75,70.15,74.65,66.45,79,70.9,76,63.2,72.2,60.65,49.95,56.8,80.65,55.3,57.14,80.2,73.65,58.8,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939  Jan 11.5, Feb 5.0, Mar 5.5 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTM has elevation at gauge as 2280 ft rather than the 1954ft on the record - no evidence as to which is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16481,SLIEVE BEARNAGH ,03/01/1939,Current ,,,,,,,,,,,,,,,,,,,,,,,,,,,
