STRATTON-POUGHILL-TRELANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS221081,Long,-4.528337,Lat,50.845001,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.74,4.3,2.76,2.55,2.68,3.88,4.46,1.17,2.25,1.43,5.29,,,,-999,4.74,1.94,5.89,2.19,2.36,2.18,4.57,1.71,3.71,5.07,,,,,,,,,,,,,4.96,5.28,6.67,1.41,6.08,3.72,3.93,3.42,3.91,1.03,4.61,4.49,4.51,5.52,2.39,3.54,4.5,5.25,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.19,0.88,0.11,2.06,4.07,3.02,0.08,0.76,5.53,2.57,2.63,,,,-999,5.1,1.55,4.96,1.94,2.93,0.65,4.86,2.61,2.12,1.14,,,,,,,,,,,,,2.89,2.41,3.55,1.25,1.72,2.99,0.04,2.34,0.24,3.26,2.63,6.18,1.21,1.72,3.21,4.21,0.35,2.01,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.54,1.33,2.34,0.8,0.47,2.59,3.24,3.82,4.32,1.55,1.27,,,,-999,1.85,4.87,2.06,1.24,4.01,4.47,0.63,2.51,5.47,5,,,,,,,,,,,,,0.49,3.11,3.08,0.41,2.39,,1.95,3.03,2.24,1.21,2.18,4.55,0.6,1.18,,3.74,2.31,1.09,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.38,3.48,2.28,1.54,0.75,2.06,1.88,0.95,3.74,1.65,3.53,,,,2.37,1.7,2.89,1.67,5.13,2.38,2.24,2.77,2.21,0.32,3.97,,,,,,,,,,,,,1.51,2.94,1.69,1.09,2.36,1.92,1.87,1.74,2.36,5.1,2.9,2.94,0,1.63,2.74,0.95,1.47,1.13,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.08,3.51,3.4,1.46,2.09,3.39,0.43,0.11,1.69,4.92,,,,,2.11,3.14,0.23,4.4,3.81,1.53,1.5,2.71,1.68,1.69,2.91,,,,,,,,,,,,,1.51,1.07,0.41,3.34,2.12,2.48,3.51,1.91,1.64,2.01,0.63,1.79,2.53,0.91,1.78,2.06,4.37,2.72,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.34,3.48,1.91,1.65,1.19,1.94,1.93,1.31,3.1,2.24,,,,,1.61,1.31,2.7,1.76,3.39,0.98,2.72,2.26,3.42,6.81,1.5,,,,,,,,,,,,,1.22,2.2,2.49,2.07,0.75,3.09,0.4,1.35,1.75,2.51,3.22,1.05,1.79,1.62,0.6,1.67,0.37,2.38,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.45,3.92,2.82,1.86,5.31,4.19,4.09,1.52,2.93,0.59,,,,,3.57,5.76,1.77,2.03,2.54,3.23,2.93,2.96,0.55,3.54,,,,,,,,,,,,,,1.81,3.26,1.5,2.2,2.56,5.65,2.92,2.34,0.6,0.8,,2.58,2.55,4.99,2.72,2.1,2.2,2.87,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.69,4,5.32,3.81,1.82,3.98,3.73,2,6.15,4.29,,,,,4.69,3.11,3.22,2.14,2.82,3.63,1.79,3.27,3.73,8.68,,,,,,,,,,,,,,2.86,4.31,3.46,2.83,3.74,5.62,1.36,1.34,3.7,0.55,,0.69,5.57,3.16,0.38,4.59,3.48,3.06,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.16,1.69,5.4,3.66,4.13,2.63,0.68,5.21,6.1,1.26,,,,,3.18,2.72,1.57,1.09,1.25,2.43,1.66,0.21,2.86,0.96,,,,,,,,,,,,,,1.66,7.3,1.88,,4.01,2.44,5.52,2.2,3.17,4.35,2.68,2.78,1.36,0.96,1.89,0.41,4.87,5.2,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.4,3.22,6.1,3.98,4.64,4.57,6.36,5.25,1.86,7.53,,,,,9.99,2.72,2.95,5.86,7.64,1.37,6,5.94,3.23,4.66,,,,,,,,,,,,,,2.29,2.17,5.82,,5.32,1.19,9.03,5.42,3.88,6.98,2.1,2.64,4.95,3.06,3.36,2.36,3,3.92,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
