LIBERTON ALNWICK HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT273690,Long,-3.164492,Lat,55.90859,Elevation,407,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,,,,1.01,1.33,1.33,2.53,3.92,4.62,1.81,3.68,1.57,1.7,0.69,4.87,0.7,0.94,,2.6,1.7,0.9,0.56,0.85,3.84,3.13,2.22,1.02,4.58,2.81,0.99,3.51,1.15,3.09,3.42,3.51,0.83,1.46,2.47,2.25,1.3,3.64,2.34,2.27,2.31,2.98,4.59,1.94,1.61,2.32,3.42,2.96,2.28,5.48,0.81,3.2,2.05,4.18,3.06,2.66,1.39,3.77,2.77,4.19,3.99,0.96,2.01,2.84,2.44,2.1,3.42,1.88,2.52,5.25,2.02,1.22,2.75,2.06,0.42,2.82,1.47,1.36,3.2,1.54,1,2.57,,,,,,,,
February,,,,,,,,,,2.55,2.11,2.9,2.82,1.63,1.63,2.59,1.56,1.98,1.77,1.71,0.79,0.55,2.3,,7.63,1.3,0.6,1.6,1.14,1.45,3.72,1.13,0.5,4.01,3.23,1.24,1.11,1.31,1.27,1.28,3.35,2.65,1.96,1.74,1.65,1.73,4.41,0.59,3.1,1.8,2.91,0.65,2.13,2.66,0.64,3.49,2.79,1.02,2.69,0.61,0.42,1.79,0.18,1.46,0.09,2.06,2.45,3.58,0.92,1.77,0.98,3.01,1.34,1.46,1.01,2.77,1.42,1.69,2.02,1.55,2.6,2.11,0.34,0.69,1.59,1.43,1.78,2.66,1.74,0.4,2.12,,,,,,,,
March,,,,,,,,,,3.64,1.98,3.06,3.2,1.97,2.06,1.6,2.05,1.77,5,1.02,1.9,3.76,1.2,,2.1,3,2,2.9,1.09,2.05,1.41,2.23,1.2,4.37,1.18,2.74,2.37,2.07,3.3,5.07,1.14,1.3,1.93,3.75,2.6,1.49,3.52,1.4,0.62,1.93,2.2,2.24,1.8,0.92,1.15,2.25,1.69,1.66,1.78,0.3,2.32,0.93,2.53,0.88,2.75,0.96,2.83,2.41,0.73,2.71,2.58,3.18,1.39,1.59,0.39,1.02,1.62,3.8,0.99,0.83,2.4,2.57,0.93,0.44,1.3,1.98,1.11,1.49,1.95,0.44,1.3,,,,,,,,
April,,,,,,,,,,2.65,4.3,0.66,2.39,1.56,1.29,2.18,1.67,1.47,1.56,2.63,1.18,0.52,1.2,,1.7,1.2,1,1.24,1.94,3.1,1.81,1.8,1.21,0.95,2.08,1.47,1.02,0.94,1.6,2.38,3.75,1.43,0.27,2.08,1.14,1.36,2.88,2.14,0.72,3.29,1.64,0.66,1.2,2.02,1.23,3.67,1.8,1.43,0.66,1.57,1.07,2.02,2.22,1.88,3.9,3.09,1.36,1.11,0.16,1.18,2.06,1.67,1.59,0.96,1.83,1.28,0.44,3.17,1.54,1.22,2.06,2.48,1.42,2.28,1.16,0.49,0.72,0.68,1.76,1.73,0.92,,,,,,,,
May,,,,,,,,,,1.8,1.26,2.52,2.04,0.85,2.27,2.92,5,2.17,0.89,2.01,1.9,2.18,2.8,,3.7,1.2,0.5,1.3,1.71,3.96,1.38,2.11,2.1,1.6,2.98,0.88,5,2.76,2.57,1.56,1.79,1.21,1.36,1.31,1.92,1.29,4.04,1.66,3.12,0.77,2.35,1.51,0.85,1.88,4.2,4.14,3.07,1.27,1.35,1.6,1.08,2.87,3.09,1.66,1.31,0.88,0.84,2.53,4.33,1.32,1.43,3.15,1.25,3.48,2.37,4.97,1.85,2.85,2.15,2.12,2.1,3.38,1.69,1.93,5.06,2.12,0.7,1.59,2.04,0.44,1.22,,,,,,,,
June,,,,,,,,,,4.93,1.95,1.46,2.98,1.77,0.59,0.63,2.03,0.52,2.67,1.69,3.1,0.7,3.3,,3,2,3.3,3.65,1.91,1.4,2.63,2.2,3.29,1.5,2.81,0.93,1.55,3.37,1,2.15,1.68,2.67,4.5,1.52,0.95,1.6,3.03,1.61,0.45,1.69,0.88,0.31,1.75,1.04,1.93,0.41,2.89,3.37,5.09,2.64,1.69,4.49,1.2,1.74,2.8,2.44,1.56,0.98,3.29,1.61,0.41,0.84,1.09,1.65,2.16,1.6,1.66,3.02,4.09,0.96,1.6,1.47,2.71,1.51,2.24,0.63,2.67,1.13,3.37,2.03,1.11,,,,,,,,
July,,,,,,,,,,7.01,3.97,4.07,4.5,4.35,5.03,1.01,2.71,2.39,5.79,4.54,3.19,5.55,1.9,,2.6,4.9,4.49,1.95,1.25,3.9,2.75,1.21,2.49,4.04,1.33,1.49,1.22,2.78,3.77,3.51,4.49,0.95,2.48,0.42,2.09,3.22,5.43,1.31,3.86,0.72,4.4,2.31,3.33,2.94,4.12,2.05,2.51,3.39,2.06,2.05,3.17,3.42,2.39,4.45,2.5,0.53,4.35,5.39,2.27,2.08,7.68,2.99,3.21,2.42,2.47,2.25,3.06,1.87,1.91,2.55,2.37,3.58,2.15,3.89,1.64,1.89,5.07,5,7.18,2.69,2.7,,,,,,,,
August,,,,,,,,,,3.82,0.79,6.31,1.69,3.18,1.92,1.96,1.08,2.07,1.55,5.78,6.1,5.41,3.4,,5.2,4.3,1.36,4.02,3.33,0.51,4.59,2.9,1.32,2.38,4.87,2.63,5.78,3.41,0.89,1.59,6.11,1.52,4.81,1.78,1.39,3.94,4.44,4.53,1.76,1.45,6.13,3.92,1.49,3.92,2.09,3.6,1.92,6.6,4.49,3.97,4.97,3.98,0.36,0.88,3.16,1.9,1.17,3.64,1.35,0.99,0.66,2.93,2.4,3.76,3.04,3.36,2.33,0.24,9.8,2.83,2.99,5.45,4.08,1.92,5.54,0.98,7.58,3,3.01,0.26,3.88,,,,,,,,
September,,,,,,,,,,1.42,3.3,3.85,2.29,2.75,2.64,2.42,3.01,4.92,0.96,0.84,1.23,4.39,2,,0.15,0.6,4.55,1.68,1.86,2.16,2.45,1.05,1.42,2.35,1.39,1.48,0.55,1.44,3.02,2.69,0.58,1.56,2.92,2.4,0.7,2.73,1.61,1.07,4.6,2.71,0.98,1.77,1.73,1.66,2.82,4.14,3.78,8.81,2.1,0.25,4.68,1.87,2.71,2.26,1.64,3.65,3.04,1.77,2.75,1.26,2.39,0.9,2.71,1.32,4.8,3.12,3.38,1.19,2.72,1.74,4.68,0.98,2.15,2.89,3.51,1.32,4.08,1.45,2.02,0.47,1.14,,,,,,,,
October,,,,,,,,,,1.48,4,1.96,2.13,2.65,1.51,2.92,4.97,2.1,1.35,3.54,2.19,2.43,3.6,,2.1,3.4,4.3,1.38,3.71,3.52,3.81,1.73,1.61,6.31,0.82,1.68,6.44,8.44,1.16,5.07,2.22,3.16,2.53,1.58,1.12,2.14,4.63,2.98,3.04,2.52,0.94,3.82,1.97,1.88,3.21,1.89,3.51,3,2.94,2.89,3.09,1.73,6.03,2.29,3.58,6.63,1.76,4.06,5.17,2.03,2.36,3.5,2.64,3.14,2.32,3.62,0.75,1.02,1.28,4.54,2.1,0.55,1.47,1.46,5.8,1.51,1.78,2.03,1.01,1.87,3.12,,,,,,,,
