Rainfall at,LIBERTON (ALNWICK HILL)
,
Station no,,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.95,4.60,1.80,1.40,2.30,3.43,2.95,2.25,5.50,0.80,3.18,
February,2.90,0.65,2.10,2.65,0.60,3.50,2.75,1.00,2.65,0.63,0.40,
March,2.20,2.20,1.80,0.90,1.15,2.25,1.70,1.60,1.75,0.27,2.10,
April,1.65,0.70,1.15,2.00,1.20,3.65,1.80,1.40,0.65,1.55,0.60,
May,2.35,1.50,0.85,1.85,4.25,4.20,3.05,1.25,1.35,1.70,1.15,
June,0.91,0.30,1.75,1.00,1.90,0.40,2.90,3.35,5.05,2.60,1.70,
July,4.40,2.30,3.30,2.90,4.30,2.05,2.50,3.35,2.05,2.30,3.36,
August,6.10,3.90,1.45,3.90,2.05,3.60,1.90,6.62,4.45,3.95,4.80,
September,1.35,1.75,1.70,1.65,2.80,4.10,3.75,8.80,2.10,0.25,4.60,
October,0.90,3.80,1.95,1.90,3.20,1.85,3.50,3.00,2.90,2.90,2.90,
November,2.25,1.05,1.25,3.00,1.05,0.60,2.95,1.55,2.85,3.60,3.90,
December,2.20,3.20,2.50,2.65,2.95,3.80,0.57,1.55,2.05,3.90,1.40,
Total,30.16,25.95,21.60,25.80,27.75,33.43,30.32,35.72,33.35,24.45,30.09,
Calc annual,30.16,25.95,21.60,25.80,27.75,33.43,30.32,35.72,33.35,24.45,30.09,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
