CHARNWOOD-FOREST-BROOMBRIGGS-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK514141,Long,-1.2404292,Lat,52.722116,Elevation,750,ft,,,,,,,,,,,,
Station no,RR6619,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.44,2.04,0.94,1.37,2.15,2.1,0.93,1.44,0.84,,,,,
February,,,,,,,0.4,0.42,1.01,1.72,0.57,0.09,1.88,2.35,1.88,,,,,
March,,,,,,,2,1.1,2.34,3.67,1.31,1.18,0.72,0.17,0.75,,,,,
April,,,,,,2.05,1.58,0.96,2.49,3.65,0.81,2.13,0.59,0.37,1.18,,,,,
May,,,,,,2.18,5.07,2.05,0.7,3.26,1.64,2.78,2.29,1.94,1.35,,,,,
June,,,,,,2.54,1.35,1.28,1.83,1.08,2.63,3.43,2.61,0.65,1.84,,,,,
July,,,,,,0.26,2.58,0.78,5.88,2.07,2.42,2.04,2.08,3.05,2.1,,,,,
August,,,,,,2.99,1.92,1.56,2.98,3.7,2.42,3.22,2.12,2.04,2.2,,,,,
September,,,,,,3.76,1.28,2.03,0.96,2.44,1.6,1.22,2.7,1.81,1.3,,,,,
October,,,,,,5.26,4.59,1.78,0.53,3.11,1.35,5.19,3.23,1.78,2.25,,,,,
November,,,,,,2.86,1.56,1.7,3.7,0.72,2.62,2.3,0.96,1.19,2.11,,,,,
December,,,,,,0.52,2.87,1.4,1.91,1.54,0.71,2.9,0.89,1.75,2.09,,,,,
Total,,,,,,,27.64,17.1,25.27,28.33,20.23,28.58,21,18.54,19.89,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
