CAMBRIDGE-HARVEY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TL456577,Long,0.12895332,Lat,52.198311,Elevation,45,ft,,,,,,,,,,,,
Station no,RR7274,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.19,0.85,0.75,1.37,1.59,3.15,,,,,,,
February,,,,,,,,1.22,1.04,0.25,2.02,0.83,1.05,,,,,,,
March,,,,,,,,0.91,1.75,2.74,0.67,1.54,2.16,,,,,,,
April,,,,,,,,2.64,2.45,1.65,2.35,0.82,0.15,,,,,,,
May,,,,,,,,2.82,1.26,1.42,2.28,0.78,1.19,,,,,,,
June,,,,,,,,2.4,1.26,3.38,1.63,2.8,2.62,,,,,,,
July,,,,,,,,1.78,2.81,2.71,1.93,0.61,2.13,,,,,,,
August,,,,,,,,1.75,2.22,1.93,1.73,0.76,7.4,,,,,,,
September,,,,,,,,0.58,1.45,1.77,1.24,1.3,,,,,,,,
October,,,,,,,3.16,2.18,1.17,3.79,2.78,2.25,,,,,,,,
November,,,,,,,3.34,2.45,0.75,0.62,2.31,2.63,,,,,,,,
December,,,,,,,1.96,2.77,1.53,2.65,3.52,3.43,,,,,,,,
Total,,,,,,,,22.69,18.54,23.66,23.83,19.34,,,,,,,,
