WORCESTER (FORT ROYAL HILL),,,,,,,,,,
Grid ref,SO855543,Long,-2.21351,Lat,52.186752,Elevation,125,ft,,
Station no,2400/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.12,4.95
February,,,,,,,,,0.07,1.92
March,,,,,,,,,2.11,1.86
April,,,,,,,,,2.66,1.11
May,,,,,,,,,1.03,1.25
June,,,,,,,,,0.63,1.46
July,,,,,,,,,1.37,2.42
August,,,,,,,,,1.85,4.2
September,,,,,,,,,0.16,4.67
October,,,,,,,,,2.23,5.83
November,,,,,,,,,3.92,3.71
December,,,,,,,,,4.31,2.82
Total,,,,,,,,,23.46,36.2
,,,,,,,,,,
Elevation from OS map as not presented on record,,,,,,,,,,
10031,WORCESTER: FORT ROYAL HILL ,01/01/1959,31/12/1979,,,,,,,
