BATH-CHARLES-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST746648,Long,-2.3663603,Lat,51.381675,Elevation,85,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,3,3.37,2.5,2.25,5,2.38,1.25,2.5,1.5,4.13,6.5,2.5,3.6,0.88,3.5,2.75,0.75,2.13,4.13,0.13,,,,,,,,
February,,,2.75,2.05,3.75,1.25,1.5,2,5,2.5,1.5,1,1.25,0.25,0.25,1.5,1.75,1,0.75,1.87,1.75,3.25,,,,,,,,
March,,,5,2,3.5,0.87,2.75,2.5,3.25,0.88,0.38,5,0.13,1,0.01,2.13,1.63,1.5,0.88,2.38,2.87,4.12,,,,,,,,
April,,,0.25,4.25,0.4,1.5,3.5,2.12,3,3.62,3.75,1.25,0.12,2.25,0.12,0.12,3.5,2.75,3.37,3.62,2.75,0.13,,,,,,,,
May,,,2.62,5.25,0.12,1.87,2,2.37,1,4.13,2.5,1,2,1.75,3.03,3.75,4.37,2.5,2.23,1.88,3,1.62,,,,,,,,
June,,,3,2.75,0.75,2.25,0.63,3,5.75,1.12,1.25,1.75,5,4.75,2.37,4,1,2.18,1.13,1.12,6.25,4.63,,,,,,,,
July,,,2.25,2.12,1.87,3.37,3,1.25,3.75,2.25,3.62,2.5,3.75,3.5,3.13,4.25,1.13,2,2.12,1.5,2.13,2.5,,,,,,,,
August,,,2.5,3.37,3,3.37,3.75,1.15,3.5,1.13,2.33,3.25,6,4.5,0.25,1.37,3.5,2,2.5,4.5,6.12,0.63,,,,,,,,
September,,,4,0.87,1,4.5,2.25,2.13,4.75,2.62,3.37,0.25,3.25,1.75,0.25,3.13,4.12,2.5,4.88,4.38,,3.87,,,,,,,,
October,,4.5,1,5.25,4.12,1.37,5.87,7,5.12,2,1.02,4.25,4,3.75,4.37,8,2.38,5.5,4.87,3.25,2.5,2.25,,,,,,,,
November,,5.25,8,2.5,4,3.5,2,2.12,2,1.75,2.09,0.87,9.13,3.25,2.13,1.75,0.37,1.25,1.63,4,3.25,4.75,,,,,,,,
December,,,2.25,0.75,0.75,3.75,1.12,5,4.75,1.5,2.75,2.25,3.75,0.38,1.5,1.25,4,0.75,3.87,4.37,4.25,,,,,,,,,
Total,,,36.62,34.53,25.76,29.85,33.37,33.02,43.12,26,26.06,27.5,44.88,29.63,21.01,32.13,31.25,26.68,28.98,35,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844 Feb IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844 Mar IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844 Sep IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844 Oct IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844 Dec IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846 Jun IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849 May IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
