ASCOT-HEATHERWOOD-HOSPITAL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU915685,Long,-0.68584271,Lat,51.408153,Elevation,300,ft.,,,,,,,,,,,,,
Station no,769,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.42,2.46,2.07,2.99,2.11,3.67,1.35,3.25,1.25,1.98,1.94,1.76,0.71,4.12,4.22,2.35,4.12,
February,,,,3.62,0.27,3.45,2.17,3.94,1.7,0.78,0.67,1.67,0.11,3.33,0.12,2.71,1.87,4.13,0.43,1.02,
March,,,,2.56,0.82,0.78,0.48,2.66,1.87,0.07,1.27,0.17,1.42,2.8,2.17,0.26,1.76,3.43,0.26,0.93,
April,,,,2.07,2.9,1.65,3.04,1.83,1.52,1.07,2.03,3.34,2.29,0.75,1.5,3.26,1.94,2.54,0.15,2.55,
May,,,,2.56,3.14,2.93,1.63,1.23,2.08,2.44,2.44,3.2,4.24,2.02,0.54,1.35,0.59,2.61,1.84,1.1,
June,,,,0.27,3.33,0,3.24,3.24,2.37,0.87,3.33,1.32,1.03,2.26,1.28,4.7,2.82,2.14,0.44,1,
July,,,3.67,1.41,4.14,3.53,2.01,2.49,1.68,1.8,2.07,3.74,1.98,1.54,2.17,0.46,3.94,0.99,1.42,3.08,
August,,,2.81,2.18,2.46,3.02,0.92,3.22,2.38,1.37,2.75,4.44,2.01,0.61,2.46,2.51,0.84,1.33,1.91,2.06,
September,,,1.65,1.48,3.26,2.91,1.32,5.34,1.04,0.18,3.26,2.07,2.08,2.15,1.29,3.24,2.13,2.01,1.11,,
October,,,0.82,5.55,3.38,2.61,2.39,1.48,4.13,3.41,1.11,0.57,4.61,1.92,1.61,3.14,1.82,2.33,2.41,,
November,,,1.48,1.64,2.51,2.02,5.61,3.48,1.96,6.35,4.2,2.67,1.44,1.09,2.11,4.68,3.11,1.57,3.29,,
December,,,2.87,2.41,3.78,3.25,0.38,3.77,2.33,5.91,2.47,0.69,0.59,0.59,6.2,2.71,2.12,3.61,2.84,,
Total,,,,27.17,32.45,28.22,26.18,34.79,26.73,25.6,28.85,25.13,23.78,21,23.21,29.73,27.06,30.91,18.45,,
,,,,,,,,,,,,,,,,,,,,,
NGR is from 1930s record and is SE of the hospital. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
"Gauge moved 75 yards SSE in 1920s, even so the NGR might be 150m NW based on the descriptions on the record.",,,,,,,,,,,,,,,,,,,,,
