EAST-FINCHLEY-DEVON-RISE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ268890,Long,-0.17119396,Lat,51.585599,Elevation,250,ft.,,,,,,,,,,,,
Station no,862/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.91,2.89,2.73,4.57,1.48,2.04,1.63,1.8,4.09,0.96,
February,,,,,,,,,,1.73,2.71,1.14,1.32,0.87,1.52,2.72,1.7,1.7,0.98,
March,,,,,,,,,,3.02,2.98,2.17,0.47,0.16,0.6,1.27,5.56,0.7,0.98,
April,,,,,,,,,,2.16,1.63,1.33,1.31,1.31,1.03,1.59,1.91,1.75,1.47,
May,,,,,,,,,,1.29,1.74,2.53,2.18,0.65,3.14,3.01,1,3.45,1.88,
June,,,,,,,,,,0.57,2.59,0.67,1.23,1.26,1.85,2.94,2.36,2.1,0.54,
July,,,,,,,,,,2.36,4.9,1.74,1.56,1.89,2.87,2.59,1.57,1.03,1.12,
August,,,,,,,,,,0.12,5.79,1.91,1.74,2.31,1.15,3.72,0.13,2.61,1.42,
September,,,,,,,,,,0.99,0.54,1.15,2.3,2.33,1.41,3.79,1.32,1.5,0.33,
October,,,,,,,,,,3.07,0.8,3.94,2.41,2.8,2.64,1.75,0.16,1.69,,
November,,,,,,,,,,6.53,2.55,2.19,1.49,3.16,0.17,3.93,1.11,1.8,,
December,,,,,,,,,,1.29,1.83,2.74,1.37,1.12,2.88,1.86,2.38,2.39,,
Total,,,,,,,,,,26.04,30.95,24.24,21.95,19.34,21.3,30.8,21,24.81,,
,,,,,,,,,,,,,,,,,,,,
"NGR is mid point of Devon Rise in East Finchley, where altitudes match.",,,,,,,,,,,,,,,,,,,,
"1940s record has NGR of TQ263893, which is not Devon Rise",,,,,,,,,,,,,,,,,,,,
