SKYE RAASAY HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG548366,Long,-6.078057,Lat,57.353687,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,18.9,12.55,12.75,2.95,3.5,11.4,13.7,12.45,3.9,6.4,8.7,13.25,7.45,7,14,6.75,12.3,9.2,4.45,8.85,11.2,,,,,,,,,,18,12,19.8,10.5,,,,,,,,5.52,10.31,3.72,9.39,3.05,8.9,7.79,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,5.95,4,8.2,0.8,6.45,7.9,3.4,8.25,4.4,9,2.5,9.1,7,3.55,8.75,6.85,16.6,11.65,5.7,7.55,7.75,,,,,,,,,,13.1,13,15.1,16.7,,,,,,,,6.41,9.79,0.91,5.86,4.82,11.69,4.01,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.95,2.65,5.9,5.8,0,5.95,5.05,9.95,6.9,11.05,2.65,4.65,4.7,4.1,3.85,1.95,11.7,3.6,1.8,7.35,4.3,,,,,,,,,,15.2,12,11.9,9.9,,,,,,,,3.6,8.35,4.92,9.98,8.49,6.65,6.21,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.35,5.15,2.55,4.15,1.75,3.15,2.5,4.8,2.4,0.55,4.25,6.65,3.8,1.9,5.05,4.4,3.7,3.1,6.75,2,3.5,,,,,,,,,,8.6,4.5,1.4,4.1,,,,,,,,2.15,1.61,4.76,4.43,4.06,4.86,7.31,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,5.9,1.05,4.35,2.55,2.25,3.05,4.4,0.6,4.15,3.2,5.8,4.35,2.65,4.9,1.5,4.1,5.1,1.55,5.75,2.15,5.75,,,,,,,,,,7.7,7.4,11.9,8.1,,,,,,,,3.11,3.92,2.08,1.51,4.51,3.8,3.8,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,4,2.6,2.75,4.55,3.25,7.65,1.55,4.9,2.25,3.25,3.45,6.4,4.4,5.35,2.1,2,4.15,6.1,1.55,3.1,1.2,4.9,,,,,,,,,,9.4,3.5,5,5.8,,,,,,,,2.29,2.81,2.6,6.22,1.9,3.43,2.46,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.4,5.75,5.75,5.3,2.9,7.05,7.2,6.05,3.1,2.65,6.05,8.75,1.95,4.2,3.95,2.3,3.05,6.55,5.2,2.65,8.2,3.75,,,,,,,,,,11.8,4.9,6.6,7.4,,,,,,,,5.41,5.32,5.5,4.44,5.16,1.88,2.49,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,6.75,4.3,3.3,4.45,6.45,2.5,6.7,4.05,6.4,4.4,10.4,4.1,9.05,3.9,3.85,4.85,5.05,7.05,1.95,2.1,4.45,3.5,,,,,,,,,,8.4,12.5,12,3.7,,,,,,,,5.64,5.8,5.87,7.49,5.66,5.42,1.94,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,3.35,4.5,7,5.4,2.75,4.35,6.5,7.8,8.05,6.5,10.05,5.55,10.2,10,4.1,9.4,8.9,2.8,11.95,6,1.75,8.45,,,,,,,,,,11.3,8.1,11.8,23,,,,,,,,9.2,0.74,5.7,7.49,8.8,6.31,8.98,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,4.95,4.4,10.7,12.35,8.55,2,6.45,9.35,5.2,13.7,6.85,13.8,5.95,3.55,4.05,4.8,9.6,11,8.3,6.95,8.8,8.5,,,,,,,,,,9.8,17.2,19.9,14.2,,,,,,,,8.91,2.57,9.72,12.04,5.9,5.74,6.98,8.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
