"SKYE RAASAY HOUSE",,,,,,,,,,,,
Grid ref,NG548366,Long,-6.078057,Lat,57.353687,,,,,,,
Station no,RR82,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.56,,,,,,,,,,,
February,4.30,,,,,,,,,,,
March,1.17,,,,,,,,,,,
April,5.79,,,,,,,,,,,
May,5.13,,,,,,,,,,,
June,2.80,,,,,,,,,,,
July,2.56,,,,,,,,,,,
August,3.92,,,,,,,,,,,
September,6.49,,,,,,,,,,,
October,8.68,,,,,,,,,,,
November,5.52,,,,,,,,,,,
December,17.39,,,,,,,,,,,
Total,74.31,,,,,,,,,,,
Calc annual,74.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
