WYKE-REGIS-DOWN-CLOSE,,,,,,,,,,
Grid ref,SY667770,Long,-2.471796,Lat,50.591772,Elevation,40,ft,,
Station no,1550/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.74,3.08
February,,,,,,,,,0.38,2.77
March,,,,,,,,,3.37,2.55
April,,,,,,,,,1.9,2.38
May,,,,,,,,,0.85,1.53
June,,,,,,,,,0.72,1.69
July,,,,,,,,,1.19,2.99
August,,,,,,,,2.54,1.18,4.73
September,,,,,,,,4.61,0.25,5.58
October,,,,,,,,3.43,3.01,7.83
November,,,,,,,,3.18,4.29,5.87
December,,,,,,,,4.76,7.22,3.33
Total,,,,,,,,,29.1,44.33
,,,,,,,,,,
Exact house unknown but Down Close very short,,,,,,,,,,
1960 Apr 28 Inspection Site satisfactory,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Wyke Regis SRC_ID 8018,,,,,,,,,,
1958-1971,,,,,,,,,,
