MARYPORT WYNDHAM ROW,,,,,,,,,,,,,,,,,,,,
Grid ref,NY054334,Long,-3.46897,Lat,54.686729,Elevation,350,ft,,,,,,,,,,,,
Station no,RR8712,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.18,7.93,3.75,1.19,0.28,,,,,,,,,
February,,,,,,,3.83,2.54,2.61,1.98,3.4,,,,,,,,,
March,,,,,,,3.38,2.76,1.73,2.63,1.15,,,,,,,,,
April,,,,,,,2.85,2.89,1.29,0.67,3.05,,,,,,,,,
May,,,,,,,0.31,2.74,2.45,1.57,1.02,,,,,,,,,
June,,,,,,,3.3,3.75,2.6,3.03,2.13,,,,,,,,,
July,,,,,,,2.63,4.05,0.38,5.01,4.06,,,,,,,,,
August,,,,,,,2.42,5.38,4.27,3.68,0.73,,,,,,,,,
September,,,,,,,5.63,2.75,4.82,4.75,4.09,,,,,,,,,
October,,,,,,,3.92,5.68,3.88,1.34,1.2,,,,,,,,,
November,,,,,,,2.86,8.28,1.96,1.69,4,,,,,,,,,
December,,,,,,,4.91,4.85,1.62,3.01,3.23,,,,,,,,,
Total,,,,,,,38.22,53.6,31.36,30.55,28.34,,,,,,,,,
