RIVINGTON (STONES HOUSE) No 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD621163,Long,-2.57474,Lat,53.64183,Elevation,629,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2999/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,2.9,3.89,3.04,3.93,1.6,6.11,1.62,2.81,2.21,4.26,1.29,4.01,3.89,2.66,5.14,2.64,2.87,2.83,4.65,4.22,5.7,3.46,3.86,3.05,2.35,4.3,3.43,9.17,2.08,6.07,5.2,4.13,2.75,3.33,2.62,5.39,3.05,4.51,5.82,2.84,2.45,4.53,4.95,5.21,3.94,4.63,4.67,9.14,2.78,3.4,4.18,4.26,2.22,4.14,2.76,6.18,3.42,4,3.22,6.62
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,2,2.51,3.47,4.65,1.75,3.66,1.65,3.93,1.39,3.73,3.89,1.88,1.32,2.47,4.65,3.43,1.18,4.19,1.05,2.54,0.26,3.93,5.61,1.04,6.07,3.74,1.92,3.99,1.22,0.3,3.95,0.12,4.19,0.28,5.32,2.54,5.56,1.47,4.49,2.56,4.97,2.16,2.6,2.04,4.43,5.82,1.52,2.21,2.47,5.07,3.83,1.56,1.93,4.49,2.98,1.09,3.58,7.41,0.65,4.15
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,3.59,2.91,4.19,2.87,3.4,3.17,3.28,3.55,3.33,0.96,1.55,5.77,4.76,4.22,1.65,1.71,2.47,1.68,5.2,4.29,2.74,2.64,1.91,1.57,1.88,1.3,5.38,2.87,1.55,3,0.51,2.82,2.69,2.91,1.3,2.79,2.51,1.5,2.23,2.58,3.13,3.15,1.44,0.81,1.6,1.03,7.78,1.75,3.04,2.22,5.15,2.44,2.02,3.55,1.72,1.91,3.52,2.1,2.22,2.19
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.97,2.85,1.75,2.38,2.71,1.87,2.14,3.2,4.12,3.43,3.3,0.69,5.28,1.1,2.16,3.68,2.34,1.22,2.67,5.02,1.94,2.37,3.39,1.81,2.22,1.45,2.7,1.22,1.19,2.64,3.29,2.85,1.66,2.91,3.28,1.53,3.51,0.53,3.3,2.72,1.98,1.81,2.73,2.25,2.52,1.44,3.84,2.19,3.74,2.98,2.61,3.9,3.31,1.08,2.46,3.45,0.75,1.67,3.29,2.77
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,1.01,4.19,3.96,2.16,1.04,4.16,4.09,3.47,2.61,3.43,2.9,2.64,3.79,2.01,1.41,2.7,1.7,2.31,1.6,6.99,2.7,1.85,4.09,4.83,4.81,3,1.48,1.25,2.94,1.75,2.39,4.78,2.23,3.67,1.8,2.11,2.94,4.5,1.56,1.23,2.35,3.8,3.33,2.74,3.6,1.9,3.04,2.21,4,1.92,3.04,2.45,2.51,3.18,3.72,1.74,2.53,4.96,1.93,2.79
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,2.36,1.87,2.01,2.57,2.21,2.77,8.1,1.93,4.39,3.7,3.93,5.9,2.83,1.6,2.31,3.79,2.54,2.47,2.44,2.7,0.59,3.43,1.15,3.25,0.07,1.98,4.68,6.14,1.68,2.64,6.58,0.66,3.14,2.26,3.22,5.35,2.16,4.97,3.53,0.97,0.56,0.99,3.78,3.1,3.66,3.38,2.45,5.28,1.22,3.2,1.51,3.78,2.91,3.93,3.81,2.75,2.61,4.7,2.71,1.55
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.08,4.69,4.95,1.8,2.67,2.05,3.86,5.08,6.17,5.64,0.3,5.02,1.84,5.18,4.52,3.74,2.18,3.4,1.73,6.04,1.55,4.92,4.95,4.73,2.69,3.96,4.49,2.7,4.09,6.07,3.77,5.06,2.61,2.2,2.16,4.83,2.12,4.65,6.68,5.89,2.82,4.76,3.45,4.11,3.24,4.34,3.47,3.2,3.77,4.12,3.3,3.15,4.32,6.52,1.01,6.68,6.64,4.49,4.99,7.85
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,3.14,2.97,5.81,4.59,4.62,4.34,4.87,3.46,4.57,5.61,3.94,7.87,2.54,3.08,5.15,3.13,7.26,5.21,4.39,2.7,6.3,4.98,5.35,7.34,4.06,4.51,5.12,6.23,4.99,7.46,5.15,1.32,3.1,5.26,1.66,2.67,2.43,3.41,2.18,2.59,6.24,4.98,6.69,3.52,2.89,8.29,0.27,5.09,2.67,8.35,4.69,5.03,4.65,6.55,1.83,13.25,6.98,5.14,0.66,5.71
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.19,2.75,5.97,1.51,2.71,1.75,1.15,5.61,2.9,0.59,4.11,2.57,2.14,3.63,0.72,3,2.37,10.56,2.31,3.1,1.61,4.58,4.67,4.25,4.18,4.06,6,1.35,2.11,3.04,5.67,5.26,0.9,3.62,7.74,4.38,1.89,3.2,1.43,4.3,1.24,3.4,5.39,6.79,2.6,7.31,4.04,2.87,2.12,7.41,3.28,4.52,3.94,5.22,5.1,4.21,8.02,5.54,0.46,3.84
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,3.76,5.15,8.65,3.3,4.41,7,3.32,2.15,6.77,3.96,2.95,4.95,2.57,2.51,2.04,6.66,7.32,4.22,3,1.21,3.1,0.76,6.04,4.75,4.51,3.34,4.06,5.64,6.73,6.04,2.32,7.52,4.1,5.48,7.46,4.33,2.32,8.8,2.55,4.66,4.77,6.62,4.38,4.97,5.88,1.57,0.84,3.13,4.25,3.5,0.92,4.8,2.57,7.94,2.55,3.26,6.39,4.49,4.74,4.6
